region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_Min
Bourgogne-Franche-Comté,2019/01/11,1.5,-1.5,7.0,77.0,7.6875,69.5,526.5
Bretagne,2019/01/11,9.0,6.0,13.0,95.0,8.0,90.0,520.0
Centre-Val de Loire,2019/01/11,5.0,2.0,9.0,93.0,6.25,89.0,522.0
Corse,2019/01/11,10.0,7.0,8.0,50.0,10.0,29.0,562.0
Grand Est,2019/01/11,1.5,0.0,12.0,85.0,7.3125,84.0,514.0
Hauts-de-France,2019/01/11,8.5,6.0,16.5,96.5,5.25,99.5,504.0
Normandie,2019/01/11,9.0,8.0,14.0,93.0,8.0,100.0,512.0
Nouvelle-Aquitaine,2019/01/11,5.666666666666667,0.6666666666666666,8.333333333333334,86.66666666666667,8.416666666666666,71.33333333333333,539.0
Occitanie,2019/01/11,6.0,2.0,23.5,65.5,10.0,17.5,551.5
Pays de la Loire,2019/01/11,10.0,4.0,10.0,91.0,10.0,73.0,527.0
Provence-Alpes-Côte d'Azur,2019/01/11,9.0,5.0,16.0,51.0,10.0,4.0,554.0
Île-de-France,2019/01/11,7.0,4.0,9.0,95.0,6.375,92.0,515.0
Bourgogne-Franche-Comté,2019/01/12,4.5,2.0,10.0,91.5,7.3125,98.0,528.5
Bretagne,2019/01/12,10.0,5.0,16.0,91.0,9.0,82.0,522.0
Centre-Val de Loire,2019/01/12,7.0,4.0,17.0,92.0,5.625,93.0,524.0
Corse,2019/01/12,10.0,7.0,7.0,50.0,10.0,4.0,563.0
Grand Est,2019/01/12,4.5,2.0,19.5,94.0,6.8125,99.0,517.0
Hauts-de-France,2019/01/12,9.0,6.0,25.0,91.0,8.1875,91.0,506.0
Normandie,2019/01/12,10.0,7.0,24.0,90.0,9.0,92.0,514.0
Nouvelle-Aquitaine,2019/01/12,7.0,4.333333333333333,7.666666666666667,93.66666666666669,7.041666666666667,79.66666666666667,540.3333333333334
Occitanie,2019/01/12,9.0,5.0,17.5,72.0,10.0,54.0,552.5
Pays de la Loire,2019/01/12,9.0,4.0,12.0,95.0,7.0,70.0,529.0
Provence-Alpes-Côte d'Azur,2019/01/12,10.0,6.0,28.0,63.0,10.0,9.0,556.0
Île-de-France,2019/01/12,7.0,6.0,18.0,92.0,6.875,89.0,516.0
Bourgogne-Franche-Comté,2019/01/13,7.0,5.0,17.5,95.5,6.375,100.0,530.5
Bretagne,2019/01/13,10.0,9.0,20.0,94.0,10.0,95.0,524.0
Centre-Val de Loire,2019/01/13,10.0,8.0,22.0,92.0,3.875,100.0,526.0
Corse,2019/01/13,14.0,10.0,8.0,66.0,10.0,20.0,564.0
Grand Est,2019/01/13,8.0,6.0,26.5,92.5,7.0625,99.0,518.5
Hauts-de-France,2019/01/13,10.0,6.5,33.5,88.5,7.0,97.0,508.0
Normandie,2019/01/13,10.0,10.0,30.0,90.0,9.375,100.0,516.0
Nouvelle-Aquitaine,2019/01/13,9.333333333333334,8.0,14.666666666666666,95.33333333333331,6.791666666666667,95.66666666666669,542.6666666666666
Occitanie,2019/01/13,11.5,9.5,28.5,77.0,9.5,59.0,555.0
Pays de la Loire,2019/01/13,10.0,8.0,19.0,96.0,7.875,90.0,530.0
Provence-Alpes-Côte d'Azur,2019/01/13,14.0,10.0,51.0,65.0,10.0,13.0,557.0
Île-de-France,2019/01/13,10.0,10.0,25.0,86.0,5.625,100.0,519.0
Bourgogne-Franche-Comté,2019/01/14,7.5,5.5,14.5,89.5,8.4375,80.5,532.0
Bretagne,2019/01/14,10.0,7.0,14.0,86.0,10.0,83.0,526.0
Centre-Val de Loire,2019/01/14,10.0,8.0,16.0,78.0,9.625,82.0,527.0
Corse,2019/01/14,16.0,12.0,16.0,72.0,10.0,5.0,567.0
Grand Est,2019/01/14,7.0,5.5,24.0,85.0,9.4375,75.5,520.5
Hauts-de-France,2019/01/14,8.0,4.0,19.0,86.5,9.9375,74.0,510.5
Normandie,2019/01/14,10.0,8.0,21.0,79.0,9.5,72.0,518.0
Nouvelle-Aquitaine,2019/01/14,10.0,8.333333333333334,13.0,89.33333333333333,7.958333333333333,79.0,543.6666666666666
Occitanie,2019/01/14,12.0,10.5,28.5,78.0,9.1875,53.0,556.5
Pays de la Loire,2019/01/14,10.0,8.0,14.0,88.0,10.0,87.0,533.0
Provence-Alpes-Côte d'Azur,2019/01/14,13.0,12.0,55.0,61.0,10.0,5.0,559.0
Île-de-France,2019/01/14,9.0,8.0,16.0,73.0,9.875,87.0,520.0
Bourgogne-Franche-Comté,2019/01/15,6.5,2.5,4.0,87.5,9.5,29.5,534.5
Bretagne,2019/01/15,9.0,4.0,9.0,91.0,10.0,58.0,528.0
Centre-Val de Loire,2019/01/15,8.0,6.0,9.0,79.0,10.0,78.0,530.0
Corse,2019/01/15,14.0,9.0,8.0,44.0,10.0,6.0,568.0
Grand Est,2019/01/15,6.0,2.5,14.0,86.0,10.0,60.0,522.5
Hauts-de-France,2019/01/15,8.0,4.5,17.5,90.5,10.0,75.5,512.0
Normandie,2019/01/15,9.0,6.0,15.0,85.0,10.0,77.0,520.0
Nouvelle-Aquitaine,2019/01/15,9.0,4.333333333333333,7.666666666666667,85.66666666666667,9.208333333333334,20.0,546.0
Occitanie,2019/01/15,11.5,6.0,9.5,71.5,9.3125,11.5,558.5
Pays de la Loire,2019/01/15,9.0,4.0,3.0,85.0,10.0,29.0,535.0
Provence-Alpes-Côte d'Azur,2019/01/15,14.0,8.0,17.0,59.0,10.0,1.0,560.0
Île-de-France,2019/01/15,8.0,7.0,10.0,80.0,10.0,89.0,522.0
Bourgogne-Franche-Comté,2019/01/16,7.5,1.5,14.0,82.5,9.5,26.5,536.0
Bretagne,2019/01/16,9.0,3.0,21.0,91.0,10.0,83.0,530.0
Centre-Val de Loire,2019/01/16,6.0,2.0,15.0,89.0,10.0,55.0,532.0
Corse,2019/01/16,12.0,10.0,12.0,70.0,10.0,14.0,570.0
Grand Est,2019/01/16,6.5,2.0,11.0,81.0,9.5,43.0,524.0
Hauts-de-France,2019/01/16,7.0,3.5,25.0,85.0,8.75,92.5,515.0
Normandie,2019/01/16,8.0,4.0,25.0,82.0,9.875,82.0,523.0
Nouvelle-Aquitaine,2019/01/16,8.333333333333334,3.333333333333333,11.666666666666666,86.66666666666667,9.458333333333334,49.0,547.0
Occitanie,2019/01/16,12.0,5.5,12.5,78.5,10.0,20.0,559.5
Pays de la Loire,2019/01/16,8.0,2.0,15.0,92.0,9.375,66.0,536.0
Provence-Alpes-Côte d'Azur,2019/01/16,13.0,11.0,17.0,79.0,10.0,30.0,562.0
Île-de-France,2019/01/16,7.0,4.0,18.0,78.0,10.0,66.0,525.0
Bourgogne-Franche-Comté,2019/01/17,7.0,6.0,21.5,87.5,9.3125,69.0,538.0
Bretagne,2019/01/17,8.0,4.0,23.0,88.0,10.0,38.0,532.0
Centre-Val de Loire,2019/01/17,7.0,4.0,21.0,89.0,9.25,78.0,534.0
Corse,2019/01/17,12.0,10.0,6.0,73.0,10.0,31.0,571.0
Grand Est,2019/01/17,6.0,5.5,26.0,86.0,8.3125,75.5,527.0
Hauts-de-France,2019/01/17,5.5,2.0,26.0,88.5,9.625,56.5,517.0
Normandie,2019/01/17,7.0,5.0,25.0,79.0,9.75,61.0,524.0
Nouvelle-Aquitaine,2019/01/17,9.333333333333334,6.666666666666667,14.333333333333334,86.0,8.666666666666666,54.66666666666666,549.6666666666666
Occitanie,2019/01/17,11.0,8.0,22.5,83.0,9.5,58.5,561.5
Pays de la Loire,2019/01/17,9.0,5.0,18.0,84.0,9.875,32.0,539.0
Provence-Alpes-Côte d'Azur,2019/01/17,12.0,11.0,19.0,82.0,10.0,58.0,564.0
Île-de-France,2019/01/17,7.0,5.0,19.0,79.0,9.5,72.0,527.0
Bourgogne-Franche-Comté,2019/01/18,3.0,-0.5,9.5,84.5,9.0625,48.0,540.5
Bretagne,2019/01/18,6.0,1.0,21.0,81.0,9.625,62.0,535.0
Centre-Val de Loire,2019/01/18,5.0,1.0,9.0,79.0,10.0,45.0,536.0
Corse,2019/01/18,9.0,6.0,7.0,57.0,10.0,20.0,573.0
Grand Est,2019/01/18,2.5,0.0,5.0,86.0,9.3125,49.0,529.0
Hauts-de-France,2019/01/18,4.0,1.0,11.5,89.0,10.0,60.0,520.0
Normandie,2019/01/18,5.0,1.0,21.0,78.0,10.0,47.0,527.0
Nouvelle-Aquitaine,2019/01/18,7.666666666666667,4.0,7.666666666666667,89.33333333333333,8.25,74.0,551.6666666666666
Occitanie,2019/01/18,9.0,5.5,16.0,70.5,10.0,49.0,563.0
Pays de la Loire,2019/01/18,7.0,2.0,16.0,83.0,10.0,67.0,541.0
Provence-Alpes-Côte d'Azur,2019/01/18,10.0,8.0,41.0,61.0,10.0,15.0,566.0
Île-de-France,2019/01/18,7.0,2.0,9.0,73.0,10.0,32.0,529.0
Bourgogne-Franche-Comté,2019/01/19,3.5,-1.0,7.0,78.0,9.6875,30.5,542.5
Bretagne,2019/01/19,10.0,5.0,11.0,95.0,7.375,75.0,537.0
Centre-Val de Loire,2019/01/19,4.0,1.0,13.0,88.0,7.75,82.0,538.0
Corse,2019/01/19,10.0,8.0,6.0,70.0,10.0,18.0,574.0
Grand Est,2019/01/19,2.0,-1.5,8.0,75.0,10.0,32.0,532.0
Hauts-de-France,2019/01/19,2.5,-0.5,21.5,81.0,8.875,72.5,522.0
Normandie,2019/01/19,7.0,3.0,15.0,94.0,5.75,89.0,529.0
Nouvelle-Aquitaine,2019/01/19,9.333333333333334,6.333333333333333,12.333333333333334,89.66666666666667,7.541666666666667,84.0,553.3333333333334
Occitanie,2019/01/19,9.0,5.0,8.5,65.5,10.0,40.0,565.5
Pays de la Loire,2019/01/19,11.0,7.0,12.0,92.0,7.875,77.0,543.0
Provence-Alpes-Côte d'Azur,2019/01/19,11.0,7.0,8.0,62.0,10.0,34.0,567.0
Île-de-France,2019/01/19,3.0,0.0,14.0,84.0,8.0,74.0,531.0
Bourgogne-Franche-Comté,2019/01/20,3.5,1.5,5.5,88.0,7.375,87.0,544.5
Bretagne,2019/01/20,7.0,3.0,17.0,96.0,6.0,60.0,539.0
Centre-Val de Loire,2019/01/20,5.0,3.0,12.0,98.0,6.125,94.0,541.0
Corse,2019/01/20,11.0,8.0,4.0,45.0,10.0,22.0,577.0
Grand Est,2019/01/20,0.5,-1.0,10.0,68.5,8.6875,75.0,534.0
Hauts-de-France,2019/01/20,3.0,-1.0,10.0,71.0,10.0,56.0,525.0
Normandie,2019/01/20,5.0,4.0,13.0,93.0,7.125,81.0,532.0
Nouvelle-Aquitaine,2019/01/20,8.333333333333334,5.333333333333333,9.333333333333334,92.0,8.916666666666666,74.33333333333333,555.6666666666666
Occitanie,2019/01/20,8.5,5.5,15.0,82.0,8.3125,60.5,567.0
Pays de la Loire,2019/01/20,7.0,4.0,16.0,95.0,8.0,61.0,545.0
Provence-Alpes-Côte d'Azur,2019/01/20,10.0,9.0,17.0,77.0,9.0,65.0,569.0
Île-de-France,2019/01/20,4.0,2.0,10.0,82.0,8.625,81.0,534.0
Bourgogne-Franche-Comté,2019/01/21,3.0,-0.5,10.0,84.5,8.625,48.0,547.0
Bretagne,2019/01/21,7.0,2.0,8.0,86.0,10.0,31.0,542.0
Centre-Val de Loire,2019/01/21,5.0,-1.0,8.0,73.0,10.0,6.0,543.0
Corse,2019/01/21,11.0,8.0,6.0,71.0,6.625,71.0,578.0
Grand Est,2019/01/21,1.0,-2.5,9.0,71.5,10.0,8.5,537.0
Hauts-de-France,2019/01/21,3.5,-1.5,8.0,63.5,10.0,8.0,527.0
Normandie,2019/01/21,6.0,2.0,5.0,81.0,10.0,21.0,534.0
Nouvelle-Aquitaine,2019/01/21,5.333333333333333,2.0,12.333333333333334,86.66666666666667,9.125,39.333333333333336,557.6666666666666
Occitanie,2019/01/21,8.0,5.5,17.5,79.5,10.0,63.0,568.5
Pays de la Loire,2019/01/21,7.0,1.0,8.0,91.0,9.0,30.0,547.0
Provence-Alpes-Côte d'Azur,2019/01/21,10.0,8.0,14.0,67.0,10.0,15.0,572.0
Île-de-France,2019/01/21,5.0,1.0,6.0,61.0,10.0,4.0,536.0
Bourgogne-Franche-Comté,2019/01/22,2.5,-3.5,11.0,77.5,9.1875,52.0,549.5
Bretagne,2019/01/22,8.0,4.0,19.0,88.0,9.875,67.0,543.0
Centre-Val de Loire,2019/01/22,3.0,0.0,17.0,96.0,7.875,66.0,546.0
Corse,2019/01/22,8.0,7.0,9.0,70.0,9.75,30.0,580.0
Grand Est,2019/01/22,1.0,-3.0,11.5,70.5,9.6875,43.0,539.5
Hauts-de-France,2019/01/22,2.5,-0.5,26.5,94.5,8.125,65.0,530.0
Normandie,2019/01/22,6.0,5.0,17.0,83.0,8.5,79.0,537.0
Nouvelle-Aquitaine,2019/01/22,6.0,3.333333333333333,19.33333333333333,93.33333333333331,8.375,78.0,560.0
Occitanie,2019/01/22,7.5,3.0,18.5,68.5,9.25,53.0,571.5
Pays de la Loire,2019/01/22,8.0,6.0,18.0,90.0,7.625,85.0,550.0
Provence-Alpes-Côte d'Azur,2019/01/22,8.0,4.0,21.0,67.0,10.0,22.0,573.0
Île-de-France,2019/01/22,2.0,-1.0,17.0,99.0,7.125,70.0,539.0
Bourgogne-Franche-Comté,2019/01/23,1.0,-0.5,8.5,95.0,4.625,94.5,552.0
Bretagne,2019/01/23,6.0,4.0,28.0,82.0,9.625,69.0,546.0
Centre-Val de Loire,2019/01/23,3.0,1.0,23.0,90.0,7.75,78.0,548.0
Corse,2019/01/23,8.0,6.0,11.0,81.0,7.75,68.0,582.0
Grand Est,2019/01/23,1.0,-2.0,10.5,82.5,8.1875,78.5,542.0
Hauts-de-France,2019/01/23,1.0,-2.0,19.5,97.5,4.75,86.5,533.0
Normandie,2019/01/23,4.0,3.0,27.0,80.0,9.75,77.0,539.0
Nouvelle-Aquitaine,2019/01/23,6.0,4.666666666666667,22.33333333333333,87.0,7.625,75.66666666666667,562.0
Occitanie,2019/01/23,8.5,6.0,33.0,83.0,7.5625,72.0,573.5
Pays de la Loire,2019/01/23,7.0,4.0,25.0,89.0,9.75,69.0,552.0
Provence-Alpes-Côte d'Azur,2019/01/23,8.0,6.0,22.0,65.0,8.875,80.0,575.0
Île-de-France,2019/01/23,1.0,-1.0,20.0,93.0,5.0,85.0,541.0
Bourgogne-Franche-Comté,2019/01/24,-2.0,-5.0,11.5,93.5,8.1875,76.0,554.5
Bretagne,2019/01/24,7.0,2.0,10.0,94.0,8.25,59.0,548.0
Centre-Val de Loire,2019/01/24,2.0,-3.0,7.0,91.0,10.0,53.0,551.0
Corse,2019/01/24,8.0,5.0,18.0,71.0,7.625,58.0,585.0
Grand Est,2019/01/24,-1.5,-4.0,8.5,82.5,10.0,60.0,544.5
Hauts-de-France,2019/01/24,1.5,-3.0,10.0,98.5,5.0625,80.0,535.0
Normandie,2019/01/24,6.0,2.0,11.0,78.0,10.0,62.0,542.0
Nouvelle-Aquitaine,2019/01/24,5.0,0.6666666666666666,10.333333333333334,85.33333333333333,8.916666666666666,50.333333333333336,564.3333333333334
Occitanie,2019/01/24,6.0,2.5,29.0,69.0,9.625,32.5,575.0
Pays de la Loire,2019/01/24,7.0,2.0,8.0,81.0,9.75,56.0,555.0
Provence-Alpes-Côte d'Azur,2019/01/24,7.0,5.0,30.0,51.0,10.0,27.0,578.0
Île-de-France,2019/01/24,1.0,-3.0,6.0,95.0,8.875,72.0,544.0
Bourgogne-Franche-Comté,2019/01/25,-0.5,-5.5,3.0,86.0,9.1875,45.0,557.0
Bretagne,2019/01/25,12.0,8.0,18.0,97.0,5.75,83.0,552.0
Centre-Val de Loire,2019/01/25,5.0,2.0,7.0,96.0,5.375,98.0,553.0
Corse,2019/01/25,9.0,6.0,10.0,61.0,10.0,5.0,586.0
Grand Est,2019/01/25,0.5,-3.0,11.0,81.5,9.0625,89.5,547.0
Hauts-de-France,2019/01/25,2.5,-1.0,18.0,98.5,3.8125,91.5,538.0
Normandie,2019/01/25,11.0,6.0,17.0,94.0,8.0,94.0,544.0
Nouvelle-Aquitaine,2019/01/25,9.0,6.0,9.0,96.33333333333331,5.666666666666667,97.33333333333331,566.6666666666666
Occitanie,2019/01/25,8.5,4.0,21.0,71.0,8.1875,48.5,578.0
Pays de la Loire,2019/01/25,11.0,8.0,12.0,98.0,6.5,98.0,557.0
Provence-Alpes-Côte d'Azur,2019/01/25,8.0,4.0,39.0,50.0,10.0,7.0,580.0
Île-de-France,2019/01/25,3.0,1.0,10.0,99.0,2.125,100.0,547.0
Bourgogne-Franche-Comté,2019/01/26,4.5,2.0,13.5,98.5,5.375,98.0,559.5
