trafic_id;time_id;zone_id;vitesse_kmh;temps_trajet_min;congestion_index;source_sensor
86;17488;5;17.95;15,90;3;sensorB
87;13614;1;34.38;27.21;2;sensorB
88;24724;9;33.84;21,46;2;sensorA
89;30622;5;33,88;11.56;2;sensorA
90;16539;10;17.85;13,02;3;
91;8058;9;23.40;17,43;3;sensorB
92;8736;8;27.71;16.03;2;sensorA
93;16724;6;31,42;10.98;2;sensorB
94;2432;2;28,43;19,15;2;sensorB
95;24566;9;29,11;22,42;2;sensorB
96;13135;6;4.38;21.92;5;sensorB
97;1426;1;23,51;26.50;3;
98;7863;4;23,41;18,37;3;sensorA
99;34750;1;28.68;17,92;2;sensorA
100;33779;7;28,47;16.73;2;sensorB
101;13838;1;36.92;17.51;1;sensorA
102;11513;4;43,09;18,30;1;sensorB
103;18653;1;40.11;17,35;1;sensorA
104;392;4;22.52;15,21;3;sensorA
105;27395;8;22.01;21.27;3;sensorA
106;228;4;34,08;28.51;2;sensorB
107;2498;5;40.97;17,48;1;sensorB
108;19080;7;26.79;5.54;2;sensorB
109;34420;5;13,87;15,23;4;sensorB
110;6944;1;34.66;22.24;2;sensorA
111;32438;4;30.54;20.03;2;sensorB
112;8289;4;27,22;24.42;2;sensorA
113;4909;10;999.00;26,58;2;sensorA
114;33991;4;12.97;13,28;4;sensorA
115;22192;3;31.95;19.23;2;sensorA
116;11755;1;27,24;14.06;2;sensorA
117;17421;2;22,84;15.46;3;sensorB
118;21277;10;11.43;18,19;4;sensorB
119;23537;9;28.42;12.78;2;sensorB
120;20689;1;42,77;12.71;1;sensorA
121;21131;3;35.69;18.18;1;sensorA
122;15912;6;39.41;23.40;1;sensorA
123;25291;5;30,45;23,65;2;sensorA
124;10078;7;24,34;8.52;3;sensorB
125;27716;1;19,08;7.60;3;sensorB
126;4693;3;32,23;16.93;2;sensorB
127;8475;2;16.43;17.38;3;sensorB
128;18079;9;11.91;21,69;4;sensorA
129;24216;10;39,34;9,62;1;sensorB
130;28572;4;32,37;16,51;2;sensorA
131;32769;7;31,36;2.83;2;sensorA
132;15590;7;35.65;26.64;1;sensorA
133;34522;6;39,52;14.25;1;sensorB
134;34144;7;28,89;24,38;2;sensorA
135;14509;3;33.73;12,69;2;sensorA
136;32391;4;38,02;11.60;1;sensorB
137;22952;7;36,79;19,97;1;sensorB
138;20632;10;7.08;22,49;4;sensorB
139;4540;3;28,55;11.45;2;sensorA
140;18532;2;35.38;14,83;1;sensorA
141;3406;3;28,88;29.83;2;sensorA
142;32376;3;25.61;9,64;2;sensorA
143;11999;10;16.70;29.60;3;sensorB
144;8597;10;17.80;23.70;3;sensorB
145;20800;4;25.58;13.90;2;sensorA
146;27502;3;19.89;25.13;3;sensorB
147;15299;10;37,31;24.47;1;sensorB
148;14400;4;37.13;25.69;1;sensorB
149;31173;8;24.80;15,87;3;sensorB
150;30260;7;37,82;16,06;1;sensorA
151;16989;9;27,37;17,66;2;
152;27884;1;33,59;28,25;2;sensorB
153;23922;9;44.40;10,68;1;sensorB
154;16594;10;39.84;19.82;1;sensorB
155;31685;7;20,42;10.77;3;sensorB
156;7252;3;55.92;14,41;1;sensorA
157;14990;6;21,15;20.31;3;sensorB
158;21250;5;30,65;22,19;2;sensorB
159;34487;5;36,33;15.24;1;sensorB
160;454;9;38,94;33,05;1;sensorA
161;7662;9;43.24;15.10;1;sensorB
162;30015;2;30,78;19.18;2;sensorA
163;21440;8;31,30;16.63;2;sensorB
164;32452;7;36.76;-5.00;1;sensorA
165;8389;5;22,23;15,24;3;sensorA
166;29995;8;19,59;17.46;3;sensorA
167;1074;8;31,85;14.77;2;
168;25187;4;29.83;-5.00;2;sensorA
169;34618;5;40,83;9,88;1;sensorB
170;17057;1;41,63;4,30;1;sensorA
171;8176;1;9.82;20.37;4;sensorA
172;17135;8;44.76;13,74;1;sensorA
173;24759;1;27,41;9,92;2;sensorA
174;7890;1;17.05;12.57;3;
175;18345;4;16.83;28,27;3;sensorA
176;33722;10;29.32;22.66;2;sensorA
177;23702;7;34,68;20,49;2;
178;18400;3;21.71;16.51;3;sensorA
179;8534;8;22.71;22,69;3;
180;33892;1;28.05;16,52;2;sensorB
181;1790;6;35,04;20,22;1;sensorB
182;6351;6;24.86;1.32;3;sensorB
183;30525;10;39.86;9.78;1;sensorB
184;10193;4;35,63;19,96;1;sensorA
185;8145;10;33,33;11.31;2;sensorA
186;32358;3;34,41;21.15;2;
187;835;8;26.79;15.48;2;sensorB
188;34633;1;21.94;19.30;3;sensorA
189;24470;10;19.49;16.99;3;sensorB
190;20773;3;28,08;17.63;2;sensorA
191;32399;9;29,78;13,12;2;
192;32497;10;31.29;22,77;2;sensorB
193;14331;7;33,17;-5,00;2;sensorB
194;34687;6;41,08;8.31;1;sensorA
195;1430;2;40,09;23.47;1;sensorA
196;645;1;15,57;14.16;3;sensorA
197;20872;7;30.66;20,87;2;sensorB
198;27323;7;30,75;15.45;2;sensorB
199;3801;4;30,17;17,00;2;sensorA
200;7559;7;39.13;18,65;1;sensorB
201;18754;8;33.32;8,31;2;sensorA
202;25027;6;20,69;24.45;3;sensorA
203;9700;9;35,98;11,97;1;
204;7974;10;19,97;24,77;3;sensorA
205;12050;4;28,15;14.94;2;sensorA
206;20355;6;29.99;20.25;2;
207;21314;8;20.55;14,24;3;sensorB
208;20593;3;23,98;13,65;3;sensorB
209;13267;8;10.72;15.82;4;sensorA
210;16748;9;23,77;18,48;3;
211;7282;7;31.54;21.39;2;sensorA
212;12186;6;41,54;16.36;1;sensorA
213;21532;5;21.85;8,14;3;sensorB
214;12710;5;26.67;20.20;2;sensorA
215;776;2;17,87;15,95;3;sensorA
216;21138;10;37,43;14.00;1;
217;15308;10;6.83;26,48;4;sensorB
218;27198;8;24,16;23.98;3;sensorA
219;18889;1;40,78;19,34;1;sensorA
220;18151;10;37,61;20,96;1;sensorB
221;20517;1;20,23;9.38;3;sensorB
222;32718;2;4.20;12.12;5;sensorA
223;19976;2;17.29;23.47;3;sensorB
224;10732;8;38,50;23,13;1;sensorB
225;21207;10;17,60;1.90;3;sensorA
226;20501;999;48,20;17.26;1;sensorB
227;15025;4;28.34;0,10;2;sensorB
228;11142;1;31.91;27,14;2;sensorA
229;30147;8;39.31;8.58;1;sensorA
230;14460;9;45,65;20.42;1;sensorB
231;7414;2;21.38;26.75;3;
232;24363;9;21,01;17.37;3;sensorA
233;23673;3;21,45;24,03;3;sensorA
234;33359;10;3,49;21.19;5;sensorB
235;9473;10;23,78;10,48;3;
236;17248;1;7.79;18.54;4;sensorB
237;10194;10;23.92;23.12;3;sensorA
238;5881;1;31.45;29,06;2;sensorB
239;30112;2;29,22;11.12;2;sensorA
240;30654;10;39.36;20.36;1;sensorA
241;11644;10;24,36;14.91;3;
242;1276;8;999,00;11,24;4;sensorA
243;11395;6;19,15;29,43;3;sensorB
244;16694;4;19.34;17.92;3;sensorA
245;13541;3;29.22;12.71;2;
246;23870;8;33,29;11,20;2;sensorB
247;31233;9;18,25;9,97;3;sensorA
248;3293;4;28.06;25.65;2;sensorB
249;18958;10;30.88;24,90;2;
250;25873;7;19.17;22,11;3;sensorB
251;518;8;11,01;23,64;4;sensorA
252;3438;5;33,97;14,19;2;sensorA
253;2688;4;29.29;14.03;2;
254;4324;4;27,49;23,21;2;
255;10967;1;19.69;16,18;3;sensorA
256;28519;6;29,98;16,83;2;sensorA
257;21065;7;31,41;11,72;2;sensorB
258;30729;7;23,12;13.82;3;sensorA
259;1575;9;36.48;17,00;1;sensorA
260;15062;4;17,58;15,72;3;
261;23035;3;42.04;13.61;1;sensorB
262;3751;7;39,44;16,88;1;sensorB
263;20214;6;30.90;18,02;2;
264;9376;7;12,27;17.22;4;sensorB
265;26951;9;14.55;29.35;4;sensorB
266;20407;5;22.81;15,40;3;sensorA
267;16251;10;38,34;14.87;1;sensorB
268;23559;3;20.71;17,84;3;sensorA
269;31289;8;18.32;12.88;3;sensorB
270;26717;3;17,83;23.34;3;sensorA
271;6923;6;14.31;11.27;4;sensorB
272;31954;1;37.29;7.04;1;sensorB
273;33513;3;34.26;11.31;2;
274;25773;9;32.62;22,64;2;sensorA
275;2398;10;18.56;28.08;3;sensorA
276;17910;6;25,65;28,47;2;sensorA
277;19021;5;47,88;16,62;1;sensorA
278;20512;6;30.18;14,86;2;sensorB
279;19112;7;24.53;11.97;3;sensorA
280;4368;2;45,44;3.91;1;sensorB
281;25499;9;20.66;16.31;3;sensorB
282;26218;4;47,14;9,94;1;sensorA
283;19161;9;19,48;14,38;3;sensorB
284;1665;5;46.37;19.80;1;
285;4791;1;31.99;13,65;2;sensorB
286;33491;3;12.01;24.36;4;sensorA
287;29325;2;17.27;34,96;3;sensorB
288;7870;9;37.86;25,99;1;sensorB
289;13903;4;24.09;22,84;3;sensorB
290;2051;10;16,02;28,07;3;
291;3388;3;30,56;23.71;2;sensorA
292;1185;9;25,71;14.51;2;sensorA
293;8754;4;10,68;8,35;4;sensorA
294;34176;8;16,79;17.57;3;sensorB
295;14850;5;39,02;23,49;1;sensorB
296;35022;7;10,06;13.80;4;sensorA
297;31955;3;19.20;23.91;3;sensorB
298;22362;3;27,12;19,73;2;
299;12147;4;23,08;26,51;3;
300;22067;1;32.62;19.12;2;sensorB
301;11264;9;29,01;7.95;2;sensorA
302;9421;2;30,48;13,23;2;sensorA
303;33663;8;36,38;17,51;1;sensorA
304;4785;6;31.15;25.23;2;sensorB
305;22498;5;33.42;17,52;2;sensorB
306;27311;8;0,50;25,67;5;sensorA
307;29962;5;38.59;8.59;1;sensorA
308;25372;5;34.10;22,45;2;sensorA
309;28870;10;16.62;11,73;3;sensorB
310;1416;4;30,76;15.03;2;sensorB
311;20066;2;13.98;14.06;4;sensorA
312;8843;7;37,57;4,37;1;sensorB
313;20482;5;39,03;18.83;1;
314;9061;8;20.64;24.40;3;sensorB
315;9731;2;35.23;19,83;1;sensorA
316;11666;9;32.50;14,44;2;sensorB
317;32713;5;13,73;12.78;4;sensorA
318;14135;10;11,54;29,45;4;sensorA
319;1058;4;33,08;14,99;2;sensorB
320;688;2;11.07;17,88;9;sensorB
321;14023;9;44,87;20,30;1;sensorA
322;9171;3;40,50;16.56;1;sensorB
323;14936;5;18.55;18.34;3;sensorB
324;18803;4;26,98;25,84;2;sensorB
325;18961;9;23,90;13.42;3;sensorB
326;3573;3;39.49;20.13;1;sensorB
327;29507;9;23.65;15,98;3;sensorB
328;32105;7;25,65;21.41;2;sensorB
329;7669;5;13,49;12,86;4;sensorA
330;8440;9;32.01;4,60;2;sensorB
331;21550;8;32,65;4.42;2;sensorA
332;32821;7;17,24;26.64;3;sensorB
333;32143;8;14,54;15.90;4;sensorB
334;29697;4;20,42;17.46;3;sensorA
335;6446;4;27,64;15,39;2;sensorA
336;12464;6;21.78;27.12;3;sensorA
337;5270;2;32,02;14.36;2;sensorB
338;13313;2;25,60;20.19;2;sensorA
339;19022;4;30.23;30,68;2;sensorB
340;18385;5;35.33;11.31;1;sensorA
341;18594;3;41,88;14.89;1;
342;28778;3;26,34;15,33;2;sensorB
343;31716;1;13.50;20,21;4;sensorB
344;2435;4;37,93;13.83;1;sensorB
345;14019;3;29,54;18.68;2;sensorA
346;12233;4;25,08;26.37;2;sensorA
347;23700;5;35,54;4.58;1;sensorA
348;26643;10;39.48;11.33;1;sensorA
349;16329;3;37.82;19,66;1;sensorA
350;18540;4;21,64;17.84;3;sensorB
351;21421;6;12.96;21,34;4;sensorA
352;11660;1;28,41;15,45;2;sensorB
353;22539;1;14,96;19.31;4;sensorA
354;19227;8;27.80;12,00;2;sensorB
355;10461;2;21.14;-5.00;3;sensorA
356;30166;3;31,74;13,68;2;sensorB
357;28825;6;33.05;21.49;2;sensorA
358;13909;9;30.72;18,99;2;sensorA
359;23853;3;27,69;23.38;2;sensorB
360;1443;9;20,65;13.35;3;sensorB
361;17554;10;12.17;22,68;4;sensorB
362;4404;8;34,02;17,15;2;sensorA
363;26491;1;38.47;27.52;1;sensorB
364;5451;8;32,38;13,48;2;sensorA
365;25030;5;19.77;26,00;3;sensorB
366;2268;10;40,70;15,61;1;sensorA
367;26908;2;28,29;19.95;2;sensorB
368;30481;9;23.68;24,47;3;sensorA
369;24850;5;25,27;20,05;2;sensorA
370;27564;10;35,64;21,83;1;sensorA
371;28456;3;5.95;15,01;4;sensorA
372;22465;1;24.57;2,94;3;sensorA
373;28582;2;23.67;14.58;3;sensorA
374;34114;8;36.38;26,45;1;sensorA
375;34162;7;22.65;21,49;3;sensorB
376;21189;9;10.13;20,11;4;sensorB
377;5696;8;30,78;20.92;9;sensorB
378;34960;3;32.37;19,55;2;sensorA
379;32224;1;14,96;17,98;4;sensorA
380;11856;8;8.71;21.26;4;sensorA
381;23537;5;26.48;14,15;2;sensorB
382;6417;3;18.44;14.86;3;sensorA
383;28197;6;30.88;15,13;2;sensorA
384;23967;6;25.20;16,14;2;sensorA
385;28609;9;29.59;21,55;2;sensorA
386;2155;2;28,00;24,67;2;sensorA
387;10404;5;28,17;15,63;2;sensorA
388;33056;7;34.20;22,36;2;sensorA
389;31023;5;26,77;14,00;2;sensorA
390;23785;3;24,24;3,43;3;sensorA
391;22875;4;28,70;13.63;2;sensorB
392;7930;10;23,67;16.46;3;sensorB
393;22974;1;42,80;14,55;1;sensorA
394;24617;9;27,60;28,89;2;sensorA
395;15072;5;40,56;15,68;1;sensorB
396;6665;2;19.75;31.06;3;sensorA
397;6825;4;999.00;17.82;2;
398;21268;1;28.75;22.57;2;sensorB
399;30286;9;38,92;14.62;1;sensorB
400;16133;8;18,92;19,39;3;sensorB
401;19274;6;17,61;17.90;3;sensorA
402;12979;6;20,87;9,32;3;
403;17206;1;27,03;15,27;2;
404;26563;4;31.08;13.83;2;sensorB
405;12581;8;27,41;10,34;2;sensorA
406;19157;3;40.38;25,58;1;sensorA
407;10801;8;21.89;17.60;3;sensorB
408;25722;6;18,91;22,53;3;sensorB
409;12611;5;32.50;23.62;2;sensorA
410;31004;1;10.20;12,29;4;sensorB
411;18814;4;31.68;20,27;2;sensorB
412;11206;7;44,41;21,91;1;sensorA
413;7645;7;4,06;17.17;5;sensorA
414;27290;5;35,35;25.46;1;sensorB
415;2234;1;31.41;14,69;2;
416;28823;9;53,88;21,19;1;sensorA
417;10236;8;38.29;7,94;1;sensorB
418;9932;5;30,25;9.45;2;sensorB
419;21847;10;20.24;13,88;3;sensorA
420;12241;9;30,75;26.27;2;sensorB
421;4323;10;38,56;18.46;1;sensorB
422;12123;2;20,83;14.20;3;sensorB
423;19157;5;27,54;19,30;2;sensorA
424;25939;9;26.94;19.22;2;sensorB
425;84;3;22,83;1,25;3;sensorB
426;24957;9;22.61;17.39;3;sensorB
427;9573;5;41.72;16,12;1;sensorB
428;4000;2;23,50;22,33;3;sensorA
429;34139;1;40.12;8.77;1;sensorA
430;235;3;39,14;24.60;1;sensorA
431;7068;4;24,85;20,70;3;sensorA
432;28339;6;24.21;10,07;3;sensorA
433;6967;9;31,54;23,57;2;
434;6722;1;31,63;8.49;2;sensorA
435;12844;10;16.23;17.15;3;sensorA
436;1278;6;30.11;23.75;9;sensorA
437;4416;1;27.72;29,05;2;sensorA
438;5945;9;40,65;23.19;1;
439;28963;9;19.91;27,36;3;sensorA
440;31270;9;8,46;29.71;4;sensorB
441;8261;7;26.06;21,64;2;sensorA
442;34181;3;40.48;16.95;1;sensorA
443;21980;6;15,76;19.79;3;sensorA
444;32814;10;44,61;10,39;1;sensorB
445;8524;10;31,37;17.40;2;sensorB
446;15425;7;16.15;19,09;3;
447;10180;7;42,21;25.84;1;
448;29736;2;12.60;20.78;4;sensorB
449;32892;1;28,71;9.13;2;sensorB
450;14590;4;37,40;14.85;1;sensorA
451;27428;5;19.19;20,44;3;sensorA
452;23056;3;29.78;12.47;2;
453;24266;2;26.05;27,70;2;sensorB
454;6973;1;38,98;24,88;1;sensorA
455;31992;9;39,40;17,11;1;sensorA
456;10322;1;42.15;16,58;9;sensorA
457;3672;2;23,24;14.38;3;sensorB
458;31097;4;19.98;16.47;3;
459;2689;1;32.30;13,23;2;sensorA
460;21937;9;32.53;21.78;2;sensorA
461;9036;10;27,73;16,80;2;sensorB
462;33509;9;40,54;18.07;1;sensorA
463;13373;8;29,16;10.82;2;
464;1505;9;16,26;21,27;3;sensorA
465;12173;2;22,49;11,63;3;sensorB
466;17072;9;35.02;32.34;1;sensorB
467;33247;4;33,79;19.90;2;sensorB
468;4417;1;17.20;23.63;3;
469;29250;10;45,80;24,71;1;sensorA
470;14830;10;40.39;21.61;1;sensorB
471;7120;10;28.65;22.57;2;sensorA
472;20905;5;35,76;12.70;1;sensorB
473;31728;7;22,33;12,79;3;sensorA
474;31546;9;24.11;23.37;3;sensorB
475;30745;8;25,06;17.51;2;sensorA
476;3027;7;32.59;20,22;2;
477;26149;5;11.50;16,78;4;sensorA
478;598;10;31.95;23,57;2;
479;33341;6;35.30;37.43;1;sensorB
480;15611;9;30,57;11,49;2;sensorB
481;7461;10;31.11;4.92;2;sensorA
482;19794;6;18,86;15.01;3;sensorA
483;31112;2;35.29;13,87;1;sensorB
484;9589;7;16.75;18.38;3;sensorA
485;10315;7;26.25;17,08;2;sensorB
486;14724;3;29.76;11,34;2;sensorB
487;9455;3;32.37;18,00;2;
488;4191;7;1,53;18.53;5;sensorB
489;20243;8;29.46;24,52;2;sensorA
490;23535;2;15.18;14.47;3;sensorB
491;17375;5;24,15;11.70;3;sensorA
492;11087;10;25.07;21.14;2;sensorA
493;4049;7;31,29;25,16;2;
494;21483;2;39.53;28,78;1;sensorB
495;494;8;39.85;21,28;1;sensorB
496;9664;9;39,41;15.92;1;sensorB
497;17607;7;37.53;12,50;1;sensorB
498;26261;10;11.24;22.02;4;sensorA
499;21421;5;28,03;22.80;2;sensorA
500;25659;7;38.28;15,52;1;sensorA
501;5779;6;20.63;12.42;3;sensorB
502;25413;4;8,13;23,01;4;sensorA
503;25043;5;15.31;28.90;3;sensorB
504;11736;3;11.57;19.70;4;sensorA
505;5489;6;13,80;19,93;4;sensorA
506;19773;4;35,71;12.59;1;sensorA
507;26077;7;28.88;18,88;2;sensorA
508;19406;7;24.41;16,39;3;sensorA
509;434;8;17.17;24,85;3;sensorB
510;31379;6;11.92;7,26;4;
511;28779;6;14,51;13.92;4;sensorB
512;32876;4;29.02;14.96;2;sensorA
513;9936;9;22,59;24.92;3;sensorA
514;8431;7;27,23;18,07;2;sensorB
515;22768;1;12,09;10.66;4;
516;11262;3;11,65;11.70;4;sensorA
517;3992;6;22.39;11.38;3;sensorB
518;24730;1;30.89;26.50;2;sensorB
519;3079;4;19.53;6,61;3;sensorA
520;34983;9;36,50;21,46;1;sensorA
521;17813;6;36,45;21,74;1;sensorB
522;29189;4;49,19;13,54;1;sensorA
523;21142;3;22.27;6,44;3;sensorB
524;14612;6;5.89;18.27;4;sensorA
525;30772;5;20,24;25.03;3;
526;14047;10;16.73;20,12;3;sensorA
527;33528;5;12.75;16,54;4;sensorA
528;17022;8;27.55;12,40;2;sensorB
529;6088;7;22.32;11,95;3;sensorB
530;7601;5;13.24;20,97;4;
531;25483;5;43.14;13,17;1;sensorB
532;9370;9;30,31;16.66;2;
533;2545;4;12,94;15.08;4;sensorB
534;2025;8;9,55;25.57;4;sensorB
535;19881;9;0.50;25.20;5;sensorB
536;24185;1;44,83;17,52;1;sensorA
537;30182;5;22,38;17.42;3;sensorA
538;31777;9;19.82;17,44;3;sensorB
539;10511;7;32,75;3,73;2;sensorA
540;27540;6;33,04;16,61;2;sensorB
541;27979;6;38,42;10,24;1;sensorA
542;27772;2;42,49;22,64;1;sensorA
543;10709;1;13.59;11,70;4;sensorB
544;3074;2;32,35;19,58;2;sensorB
545;28934;8;26.76;14.98;2;
546;10581;2;22.34;22.15;3;
547;7331;7;26,00;16.30;2;sensorB
548;32194;1;16.09;16.91;3;sensorB
549;1921;2;26,18;18,81;2;sensorA
550;34094;3;29,38;18,66;2;sensorA
551;9756;6;44,05;14,92;1;sensorB
552;13899;6;32,63;19.51;2;sensorB
553;1907;10;23,77;18.68;3;sensorB
554;18756;5;19.15;17.12;3;sensorA
555;2195;2;27.99;29.71;2;sensorA
556;16700;7;34,54;15,94;2;sensorB
557;33556;1;14.28;17,61;4;sensorB
558;23282;7;38.83;12,96;1;sensorA
559;4411;9;20,51;10,87;3;sensorB
560;29592;1;26.73;8.60;2;sensorA
561;32;2;24,58;12.84;3;sensorB
562;22363;5;23,89;14.71;3;sensorA
563;24646;9;29,64;30,19;2;sensorB
564;337;3;29.57;20,56;2;
565;23908;2;999.00;11,79;5;sensorA
566;21889;7;13,75;14.27;4;sensorB
567;22880;2;31.98;8,97;2;sensorA
568;17592;8;29.85;15.96;2;sensorA
569;19851;6;33,11;21,42;2;sensorA
570;2559;1;34,25;18.56;2;sensorA
571;30764;6;22.56;7,64;3;
572;12531;6;29.69;8.78;2;
573;17862;3;12,08;15.20;4;sensorA
574;17169;6;29,96;31,72;2;sensorB
575;18209;7;31,10;21.99;2;sensorA
576;568;9;24.77;11,26;3;sensorA
577;34011;4;8,96;10.87;4;sensorB
578;13688;10;10,76;18.64;4;sensorA
579;9497;4;23.85;22.19;3;sensorA
580;31815;3;46.22;21,35;1;
581;25186;6;27,64;18,84;2;sensorA
582;5972;7;21.17;11,33;3;sensorA
583;4817;6;40.20;21,18;1;sensorA
584;34891;6;25,49;20,76;2;sensorA
585;694;8;30.93;13.04;2;sensorB
586;14514;3;41.13;9,48;1;
587;21633;8;25,93;10.96;2;sensorB
588;34276;6;34.43;11.51;2;sensorB
589;27939;4;22,80;12,24;3;sensorA
590;10883;4;40.57;15,43;1;sensorB
591;18761;9;18,22;12.27;3;sensorA
592;32928;9;23.80;11.30;3;sensorA
593;29417;5;37.20;16,14;1;sensorA
594;23658;6;36,78;18,07;1;
595;13652;4;18,72;14,42;3;sensorA
596;18451;4;28.43;16.80;2;sensorA
597;31644;8;18.52;11,71;3;sensorB
598;22342;5;21.95;18.29;3;
599;10638;3;44.79;16,84;1;sensorA
600;32607;10;19,05;33.21;3;sensorA
601;32851;7;40,01;25,51;1;sensorB
602;26561;9;27,80;15.62;2;sensorA
603;22291;4;21,19;19,80;3;sensorA
604;24346;6;23.63;16,58;3;sensorB
605;26990;1;21,51;25.77;3;sensorB
606;30205;3;26.09;27,83;2;sensorB
607;32099;6;38.06;14.52;1;sensorB
608;7426;9;20.79;23,67;3;sensorB
609;24513;6;18.68;23.47;3;sensorB
610;4860;4;19,44;9,34;3;sensorB
611;3698;5;35.16;16,52;1;sensorB
612;17845;6;13.98;23.51;4;sensorA
613;7970;7;42.00;23.36;1;sensorB
614;16685;7;17,95;13.82;3;sensorB
615;8369;3;14,35;16,09;4;sensorB
616;617;6;14.29;23,59;4;sensorB
617;28740;6;31.19;22,36;2;sensorA
618;8794;4;37.38;19.78;1;sensorA
619;6681;3;32.82;17.96;2;sensorA
620;25667;1;40.81;22,53;1;sensorB
621;13965;5;28.50;23.25;2;sensorB
622;8796;8;47,65;14,84;1;
623;4683;2;36,66;26,81;1;sensorA
624;22096;6;57.37;15.20;1;sensorA
625;10839;9;20.10;23.73;3;sensorB
626;12443;5;20.14;25.17;3;sensorB
627;3827;6;36.59;22.98;1;sensorA
628;5053;2;24.39;16,37;3;sensorB
629;33475;6;43,81;20.87;1;sensorA
630;11570;10;30.03;21,92;2;
631;18596;5;26.22;17.25;2;sensorB
632;22552;10;27,80;13,20;2;sensorA
633;10882;2;27,61;26.23;2;sensorB
634;30719;8;26.39;23.74;2;sensorA
635;14588;4;26,16;18,22;2;sensorA
636;23231;6;35.84;22.23;1;sensorB
637;17907;3;22,92;15,97;3;sensorB
638;16680;10;27,09;13.63;2;sensorA
639;8260;10;21,83;23,51;3;sensorB
640;19883;2;23,28;17.60;3;sensorA
641;22102;9;51,86;12.55;1;sensorB
642;3907;9;18,52;11.78;3;
643;23957;10;999.00;25,41;2;sensorA
644;31564;4;24,37;30,95;3;
645;26467;10;18,03;22,93;3;sensorA
