survey_id|time_id|zone_id|mode|stress_1_5|satisfaction_1_5|commentaire
104|6599|2|vélo|1|3|Clim en panne
105|16401|10|métro|3|2|Retard > 30min!!!
106|1496|8|voiture|2|2|Trajet OK
107;15257;10;voiture;1;3;Trajet OK
108|27171|1|voiture|3|4|Trop de retard 😡
109|13790|10|métro|3|3|Trop de retard 😡
110|30885|4|métro|3|3|Service interrompu
111|7811|4|métro|1|2|👍
112|4749|5|tram|4|3|Bus bondé...
113|30045|5|vélo|1|3|« Pas d'info »
114|17529|6|métro|3|4|RAS
115|16564|8|bus|3|2|« Pas d'info »
116|24761|7|voiture|1|2|
117|9571|3|vélo|2|2|👍
118|26798|2|bus|2|2|Bus bondé...
119|1165|7|bus|3|2|Trajet OK
120|2288|1|vélo|3|1|« Pas d'info »
121|31382|3|voiture||2|Clim en panne
122|12968|1|vélo|3|4|Insécurité ressentie la nuit
123|17385|6|vélo|2|2|« Pas d'info »
124|23769|4|voiture|3|4|Null
125|31848|4|voiture|2|2|Insécurité ressentie la nuit
126|10586|4|métro|1|4|Trajet OK
127|12954|9|vélo|2|3|Null
128|16097|4|voiture|2|1|« Pas d'info »
129|8023|8|bus|2|2|Null
130|34489|6|métro|3|1|Correspondance ratée
131|22939|10|voiture|2|1|Null
132|7334|9|bus|4|2|Clim en panne
133|14405|8|tram|3|3|Service interrompu
134|19446|5|métro|3|4|RAS
135|29617|8|métro|3|3|Insécurité ressentie la nuit
136|23126|6|voiture|3|4|Null
137|18038|1|bus|1|3|Trajet OK
138|27800|2|tram|1|3|Trajet OK
139|1354|6|tram||2|Trop de retard 😡
140|31703|9|bus|2|2|Retard > 30min!!!
141|26260|2|bus|1|4|Bus bondé...
142|2265|9|métro|4|3|Retard > 30min!!!
143|21437|7|bus|2|3|Trop de retard 😡
144|16797|7|métro|1|1|👍
145|26281|2|bus|2|3|Correspondance ratée
146|15496|3|métro|2|3|Bus bondé...
147|29597|7|tram|2|4|"Station sale|extra"
148|34209|5|métro|4|1|RAS
149|24386|6|vélo|2|2|RAS
150|25425|7|voiture|2|2|Trop de retard 😡
151|3158|8|voiture|2|4|
152|16194|2|voiture|3|1|Service interrompu
153|13560|6|bus|1|4|Correspondance ratée
154|26947|6|vélo|1|2|Insécurité ressentie la nuit
155|34616|9|vélo|3|2|Trop de retard 😡
156|21167|1|voiture|3|2|
157|8651|4|bus|1|3|Trajet OK
158|30603|3|bus|3|1|Clim en panne
159|9260|3|tram|3|3|Trop de retard 😡
160|29753|7|tram|2|1|« Pas d'info »
161|15184|4|tram|2|5|Insécurité ressentie la nuit
162|18977|5|métro|2|3|Correspondance ratée
163|408|4|bus|4|3|Station sale
164|5013|10|bus|3|2|Service interrompu
165|22210|9|bus|1|3|Bus bondé...
166|33620|7|métro|3|3|Insécurité ressentie la nuit
167|22869|9|métro|2|2|Service interrompu
168|25438|2|bus|3|2|Service interrompu
169;5253;3;bus;4;2;Null
170|34693|9|métro|3|3|Trop de retard 😡
171|34532|5|voiture|2|1|RAS
172|18233|4|métro|4|1|Trajet OK
173|21464|10|voiture|3|3|"Retard > 30min!!!|extra"
174|27848|10|tram|4|4|Insécurité ressentie la nuit
175|2062|10|voiture|3|2|Retard > 30min!!!
176|31009|5|bus|1|3|👍
177|11744|7|voiture|4|2|Null
178|14838|9|bus|4|2|
179|11779|8|bus|2|4|« Pas d'info »
180|25944|3|métro|3|2|Correspondance ratée
181|22232|2|métro|3|5|Null
182|32963|10|voiture|3|2|Clim en panne
183|28241|5|bus|3|2|Retard > 30min!!!
184|7679|8|voiture|2|1|Clim en panne
185|34831|3|tram|3|3|
186;15943;8;métro;3;2;Trajet OK
187|17022|1|bus|1|4|Trop de retard 😡
188|32052|9|bus|1|1|👍
189|6153|8|tram|2|2|Null
190|30355|3|métro|2|1|Retard > 30min!!!
191|29549|2|métro|1|3|Correspondance ratée
192|18063|1|métro||2|Trajet OK
193|20540|9|métro|1|3|Trop de retard 😡
194|18545|2|vélo|5|2|Retard > 30min!!!
195|245|1|vélo|2|2|RAS
196|5647|6|voiture|3|1|« Pas d'info »
197|24207|7|bus|2|3|RAS
198|32543|5|bus|1|2|Correspondance ratée
199|11356|3|bus|4|4|
200|22438|10|métro|3|3|Bus bondé...
201|1221|5|bus|3|2|« Pas d'info »
202|25451|6|bus|3|1|RAS
203|19700|10|métro|3|2|👍
204|546|6|métro|3|2|Station sale
205|6198|10|métro|5|1|Station sale
206|31295|1|métro|3|4|👍
207|31291|6|voiture|2|2|"👍|extra"
208|26051|10|métro|3|4|Trop de retard 😡
209|4882|6|voiture|2|3|Insécurité ressentie la nuit
210|12830|8|bus|2|2|Trop de retard 😡
211|9690|5|bus|3|4|Bus bondé...
212|10011|8|bus|3|2|Insécurité ressentie la nuit
213|10481|6|bus|3|1|Trop de retard 😡
214|19363|7|voiture|2|1|Bus bondé...
215|1210|9|métro|3|2|Insécurité ressentie la nuit
216|4253|10|tram|3|3|Insécurité ressentie la nuit
217|14926|1|voiture|1|2|Null
218|34585|1|voiture|3|3|Trop de retard 😡
219|14515|10|voiture|2|2|Trop de retard 😡
220|28526|2|bus|3|3|Insécurité ressentie la nuit
221;24749;2;métro;2;2;« Pas d'info »
222|7325|8|tram|2|2|Correspondance ratée
223|15813|10|métro|4|5|RAS
224|31227|1|tram|1|1|Correspondance ratée
225|5236|9|bus|1|3|Clim en panne
226|29751|2|tram|4|2|Service interrompu
227|10718|7|vélo|2|3|« Pas d'info »
228|27449|2|métro|4|3|Service interrompu
229|33283|10|métro|3|3|Insécurité ressentie la nuit
230|219|10|tram|5|3|RAS
231|33878|4|tram|2|2|Trajet OK
232|6940|8|métro|2|2|Null
233|29334|8|bus|3|2|Bus bondé...
234|20992|6|vélo|2|1|« Pas d'info »
235|12963|8|métro|1|5|Station sale
236|17835|2|tram|2|2|Clim en panne
237|23835|7|voiture|2|1|Trajet OK
238|9061|7|métro|2|2|Bus bondé...
239|24428|8|métro|4|3|Station sale
240|10615|4|bus|2|2|
241|33367|2|métro|3|1|
242|12343|6|vélo|3|3|Clim en panne
243|4042|3|métro|2|4|« Pas d'info »
244|6539|3|voiture|4|2|Bus bondé...
245|26681|10|voiture|1|1|Retard > 30min!!!
246|6944|7|voiture|3|3|Clim en panne
247;14780;2;tram;3;2;Correspondance ratée
248|25316|6|bus|4|2|Trop de retard 😡
249|15561|3|métro|3|3|RAS
250|28306|3|tram|2|2|Insécurité ressentie la nuit
251|18210|7|tram|2|3|Bus bondé...
252|7104|5|tram|2|3|👍
253;29655;6;métro;2;3;Clim en panne
254|13389|3|voiture|3|5|"👍|extra"
255|26966|1|métro|1|2|Trop de retard 😡
256|26002|6|bus|1|3|Clim en panne
257|25753|4|métro|1|2|Null
258|15251|8|bus|4|2|Trajet OK
259|27491|2|tram|1|4|Bus bondé...
260|13899|3|tram|2|1|Insécurité ressentie la nuit
261|3336|9|tram|3|2|Bus bondé...
262;6513;7;métro;4;3;Trop de retard 😡
263|21740|5|bus|2|3|
264|29977|9|bus|3|1|RAS
265|31418|6|métro|3|4|Correspondance ratée
266|23601|4|métro|2|3|Trop de retard 😡
267|34134|10|métro|3|4|Insécurité ressentie la nuit
268|25482|6|vélo|4|3|Clim en panne
269|28262|3|voiture|2|2|Station sale
270|35027|4|tram|2|4|Correspondance ratée
271|27585|10|métro|4|1|RAS
272|19772|6|bus|2|3|RAS
273|27060|5|tram|2|3|Null
274|7578|10|voiture|1|2|Trop de retard 😡
275|16589|4|bus|3|2|👍
276|9092|3|voiture|4|2|"« Pas d'info »|extra"
277|24139|6|vélo|2|2|Station sale
278|27436|1|métro|4|1|Retard > 30min!!!
279|7207|5|bus|3|2|Null
280|22967|10|métro|2|2|"Null|extra"
281|7888|10|bus|2|3|Service interrompu
282|12030|4|bus|1|3|👍
283|19991|9|vélo|3|2|Station sale
284|13907|10|voiture|4|1|Insécurité ressentie la nuit
285|15910|9|bus|1|3|RAS
286|4104|10|voiture|1|2|Retard > 30min!!!
287|27918|1|voiture|4|2|« Pas d'info »
288|13244|5|tram|3|2|Insécurité ressentie la nuit
289|19164|7|bus|2|2|Bus bondé...
290|12715|7|bus|3|3|👍
291|28427|1|vélo|1|1|Clim en panne
292|12208|9|vélo|3|5|👍
293|26562|3|bus|4|2|"Service interrompu|extra"
294|34052|2|tram|3|3|Station sale
295|7827|10|tram|1|4|Bus bondé...
296|22714|7|voiture|3|1|Trajet OK
297|8515|8|voiture|3|3|👍
298|8868|3|métro|3|4|Service interrompu
299|13358|10|tram|4|5|Station sale
300|7079|8|bus|3|1|Null
301|23662|9|bus|3|3|Trop de retard 😡
302|22624|1|voiture|3|2|👍
303|33716|8|bus|3|3|Null
304|20357|4|métro|3|3|Station sale
305|17275|1|bus|3|1|👍
306|28331|4|métro|3|2|Trop de retard 😡
307|28721|5|voiture|3|3|Service interrompu
308;8158;8;bus;3;1;Service interrompu
309|25288|7|tram||2|Insécurité ressentie la nuit
310|4511|2|vélo|2|4|Insécurité ressentie la nuit
311|27456|2|bus|3|2|Bus bondé...
312|700|2|métro|1|4|Null
313|26221|9|bus|3|4|Retard > 30min!!!
314|26467|4|bus|3|3|
315|12263|1|vélo|3|3|Service interrompu
316|25083|10|bus|4|1|Null
317|18627|9|tram|1|1|Insécurité ressentie la nuit
318;8990;1;bus;2;2;Insécurité ressentie la nuit
319|13226|6|voiture|3|2|Clim en panne
320|7344|6|tram|2|3|👍
321|21988|6|vélo|2|3|
322|29153|3|bus|3|2|Bus bondé...
323|30293|7|voiture|1|4|Retard > 30min!!!
324|13894|8|métro|1|3|Trop de retard 😡
325|519|7|voiture|4|3|Retard > 30min!!!
326|29061|2|bus|1|2|Clim en panne
327|20321|6|métro|3|2|Service interrompu
328|14569|1|bus|4|3|👍
329|23126|6|tram|2|3|Null
330|22504|9|bus|2|3|Trajet OK
331|7022|10|vélo||2|Station sale
332|34917|1|tram|3|2|Correspondance ratée
333|11983|2|tram|2|3|
334|25459|5|voiture|1|4|Bus bondé...
335|25611|8|voiture|2|1|Clim en panne
336|16842|6|tram|3|3|RAS
337|31918|10|métro|4|3|Clim en panne
338|27294|10|bus|5|1|RAS
339|20417|9|tram|3|1|
340|29900|6|voiture|3|1|Service interrompu
341|23323|6|voiture|3|3|
342|20991|7|bus|4|4|Bus bondé...
343|3012|2|voiture|1|3|👍
344|22969|1|bus|3|3|Insécurité ressentie la nuit
345|29570|3|tram|4|1|Trop de retard 😡
346|2621|8|voiture|3|2|Correspondance ratée
347|84|8|voiture|1|3|Trajet OK
348|16621|3|métro|3|3|Null
349|700|7|tram|2|3|RAS
350;15792;3;voiture;2;3;
351|20969|2|tram|3|4|Null
352|8586|10|voiture|1|2|
353|8607|4|vélo|2|4|Trop de retard 😡
354|22053|3|tram|4|4|Null
355|26893|9|voiture|3|2|Bus bondé...
356|6773|10|métro|1|1|Service interrompu
357|20326|4|voiture|2|4|Insécurité ressentie la nuit
358|9187|4|voiture|1|4|Trajet OK
359|34021|9|tram|3|3|Null
360|34998|8|voiture|3|3|Trajet OK
361|20368|8|voiture|3|4|Correspondance ratée
362|14109|8|tram|2|3|Retard > 30min!!!
363|6363|4|bus|1|3|Retard > 30min!!!
364|10490|8|bus|2|4|Station sale
365|34856|2|bus|3|2|Correspondance ratée
366|10822|8|tram|3|2|Correspondance ratée
367|22136|1|voiture|3|3|RAS
368|15271|9|bus|2|2|Station sale
369|22472|8|vélo|3|2|Trajet OK
370|26293|3|bus|1|2|Trop de retard 😡
371|12313|7|voiture||3|Retard > 30min!!!
372|15758|3|métro|4|3|"« Pas d'info »|extra"
373|31614|8|métro|3|3|Trajet OK
374|2499|7|voiture|2|1|Insécurité ressentie la nuit
375|5743|3|bus|2|2|RAS
376|1362|1|vélo|4|3|RAS
377|33810|4|vélo|2|4|
378|8771|8|métro|1|3|Correspondance ratée
379|4593|3|métro|2|3|
380|17062|9|métro|2|2|Station sale
381|17427|5|métro|4|3|Service interrompu
382|5791|5|voiture|2|4|
383|23138|8|tram|1|2|
384|32383|2|métro|1|3|Trajet OK
385|17149|3|bus|2|1|Trajet OK
386|22350|6|bus|2|4|Retard > 30min!!!
387|19651|6|métro|3|1|Station sale
388|28955|6|voiture|3|2|« Pas d'info »
389|24321|7|voiture|1|2|Trop de retard 😡
390|394|8|métro|2|2|👍
391|19021|10|voiture|3|4|Retard > 30min!!!
392|29377|9|voiture|1|4|Null
393|1629|3|métro|3|2|Bus bondé...
394|5431|7|métro|3|2|Bus bondé...
395|5783|3|tram|3|3|Station sale
396|1603|4|tram|2|3|RAS
397|24786|6|tram|3|3|Correspondance ratée
398|1010|1|voiture|1|2|Bus bondé...
399|17851|6|bus|3|4|Correspondance ratée
400|5696|10|bus|3|2|Trop de retard 😡
401|13742|3|vélo|3|2|RAS
402|23657|2|tram|2|1|
403|29616|9|métro|2|3|
404|20759|6|bus|3|3|« Pas d'info »
405|8645|1|métro|3|3|👍
406|29048|6|bus|5|3|👍
407|27896|9|voiture|2|3|Null
408|28896|6|bus|2|4|Trop de retard 😡
409|26738|10|bus|3|4|Insécurité ressentie la nuit
410|29698|10|vélo|1|2|Trajet OK
411|30263|1|bus|5|2|Service interrompu
412|28268|2|tram|1|1|👍
413|9661|7|tram|2|4|
414|2261|2|voiture|3|3|Retard > 30min!!!
415|14708|10|métro|3|2|« Pas d'info »
416|19098|2|bus|3|2|
417|23149|4|voiture|1|2|
418|6770|3|bus|4|3|Retard > 30min!!!
419|26468|1|voiture|3|4|
420|6087|5|bus|3|4|Clim en panne
421|19451|3|bus|3|2|« Pas d'info »
422;13348;10;tram;2;2;Clim en panne
423|16895|2|bus|3|2|Bus bondé...
424|33831|7|métro|1|2|Trajet OK
425|23532|1|bus|5|3|Clim en panne
426|13255|6|voiture|1|2|"RAS|extra"
427|34708|3|métro|3|2|
428|33161|6|métro|2|5|Null
429|31246|3|voiture|2|2|Retard > 30min!!!
430|6091|4|tram|2|4|
431|4934|2|métro|1|1|Correspondance ratée
432|19359|3|bus|5|3|Retard > 30min!!!
433|12945|8|tram|3|2|
434|15904|6|métro|2|1|👍
435|34561|2|voiture|1|3|👍
436|12107|4|bus|4|2|Insécurité ressentie la nuit
437|21547|8|bus|4|2|👍
438|19394|5|voiture|2|4|Null
439|13135|1|bus|2|2|Service interrompu
440|18793|9|métro|2|4|Trop de retard 😡
441|27930|6|bus|4|2|Trajet OK
442|1259|4|vélo|2|1|Station sale
443|30208|2|métro|2|4|Null
444|27435|3|bus|4|3|Insécurité ressentie la nuit
445|35047|7|bus|2|3|Bus bondé...
446|2324|5|voiture|1|3|Clim en panne
447|21774|3|vélo|1|2|Clim en panne
448|2445|1|tram|4|2|Correspondance ratée
449|16277|9|bus|3|3|« Pas d'info »
450|15786|10|voiture|2|2|Trop de retard 😡
451|28372|1|vélo|3|1|Correspondance ratée
452|17573|7|bus|2|3|Service interrompu
453|2655|5|tram|4|3|Null
454|6734|9|tram|4|2|Correspondance ratée
455|5944|10|tram|3|2|Correspondance ratée
456|18096|10|voiture|2|2|RAS
457|24319|4|métro|2|1|Trajet OK
458|23199|1|bus|2|3|Trajet OK
459|26025|6|bus|1|2|Null
460|10733|8|tram|3|2|Trajet OK
461|27571|5|métro|2|3|Bus bondé...
462;25009;1;voiture;2;2;
463|31025|9|voiture|2|3|Clim en panne
464|2468|3|métro|2|2|
465|14396|10|voiture||5|Clim en panne
466|22953|7|bus|2|3|Insécurité ressentie la nuit
467|21464|10|métro|2|3|"Clim en panne|extra"
468|30135|9|voiture|2|3|Retard > 30min!!!
469|3939|1|vélo|3|4|Retard > 30min!!!
470|11272|3|métro|3|3|
471|12143|1|vélo|4|1|RAS
472|5381|3|bus|2|3|Trajet OK
473|27369|4|métro|3|4|"Service interrompu|extra"
474|6278|1|métro|3|4|Insécurité ressentie la nuit
475|11949|6|tram|3|4|Retard > 30min!!!
476|14349|2|tram|5|2|Null
477|1425|1|métro|1|1|Bus bondé...
478|9482|6|vélo|3|3|Insécurité ressentie la nuit
479|7344|9|métro|2|3|Null
480|29372|9|métro|4|2|Correspondance ratée
481|11389|9|métro|3|2|Trop de retard 😡
482|10833|3|bus|4|3|RAS
483|32343|4|tram|1|2|Trajet OK
484|20542|7|métro|3|3|Retard > 30min!!!
485|23586|3|tram|5|5|Clim en panne
486|31589|8|vélo|3|1|Insécurité ressentie la nuit
487|8191|4|tram|2|3|👍
488|33646|6|vélo|1|4|« Pas d'info »
489|10717|4|vélo|3|2|Clim en panne
490|30906|2|tram|4|2|Retard > 30min!!!
491|30785|1|métro|3|2|👍
492|11882|2|métro|3|2|Station sale
493|12374|7|bus|1|3|Trop de retard 😡
494|10148|2|voiture|4|3|Retard > 30min!!!
495;14593;4;métro;3;1;Trop de retard 😡
496|6291|7|métro|3|2|Trop de retard 😡
497|10430|7|métro|2|2|Correspondance ratée
498|25915|8|voiture|2|2|Trajet OK
499|16714|7|métro|2|4|Correspondance ratée
500|8630|1|voiture|2|4|RAS
501|17056|3|bus|3|3|Insécurité ressentie la nuit
502|21408|2|bus|3|2|Bus bondé...
503|31437|8|métro|3|4|Trop de retard 😡
504|4697|3|bus|2|2|« Pas d'info »
505|24041|10|tram|3|3|Insécurité ressentie la nuit
506|2670|5|bus|2|3|Trop de retard 😡
507|12036|3|bus|1|3|Trop de retard 😡
508|15173|8|vélo|1|1|Correspondance ratée
509|14373|2|vélo|2|5|👍
510|32285|10|voiture|2|2|Retard > 30min!!!
511|23864|1|bus|1|2|Clim en panne
512|27623|6|vélo|1|2|Trajet OK
513|341|4|voiture|2|2|« Pas d'info »
514;13949;2;bus;2;4;Service interrompu
515|14117|9|bus|1|2|
516|25290|9|métro|2|3|Insécurité ressentie la nuit
517|17042|5|bus||2|
518|23354|5|bus|4|1|Null
519|22668|10|bus|3|3|Trajet OK
520|4176|3|voiture|3|3|Clim en panne
521|12828|3|métro|1|2|Service interrompu
522|1662|1|métro|3|2|Null
523|12837|2|voiture|2|2|« Pas d'info »
524|30803|10|voiture|4|3|RAS
525|7184|8|métro|3|2|Correspondance ratée
526|18648|7|bus|2|2|👍
527|20776|7|vélo|1|1|👍
528|16954|5|bus|3|3|RAS
529|942|10|tram|1|2|Correspondance ratée
530|2253|10|métro|1|1|Trop de retard 😡
531|29024|1|bus|1|2|Station sale
532|18263|5|tram|2|2|Retard > 30min!!!
533|34885|3|vélo|3|1|"Clim en panne|extra"
534|31559|6|bus|1|4|RAS
535|16477|7|métro|2|3|RAS
536|18672|3|bus|2|2|👍
537|16880|5|voiture|3|1|Clim en panne
538|14716|8|voiture|2|4|« Pas d'info »
539;9869;9;bus;2;1;Insécurité ressentie la nuit
540|7802|1|métro|1|3|Station sale
541|10333|7|bus|2|3|Retard > 30min!!!
542|14423|8|métro|2|3|Station sale
543|961|7|tram|1|3|Retard > 30min!!!
544|2178|3|bus|3|3|Insécurité ressentie la nuit
545|28000|2|bus|2|2|Trajet OK
546|34307|8|voiture|2|3|Service interrompu
547|7288|3|bus|2|3|Correspondance ratée
548|31287|7|voiture||4|Clim en panne
549|4174|9|métro|4|4|Bus bondé...
550|3941|8|bus|3|1|
551|20690|5|voiture|2|1|Trajet OK
552|20321|1|métro|4|2|Station sale
553|23|5|métro||3|Trajet OK
554|14871|10|métro|2|2|Trop de retard 😡
555|1335|10|bus|2|2|Trajet OK
556|4314|1|bus|1|3|Insécurité ressentie la nuit
557|25871|8|vélo|3|2|Null
558|28388|6|métro|2|3|Service interrompu
559|2194|10|métro|2|1|Clim en panne
560|3881|10|tram|4|5|RAS
561|25261|9|voiture|2|3|Retard > 30min!!!
562|34959|5|métro|2|3|Null
563|2448|999|bus|2|5|Service interrompu
564|8397|3|bus|2|2|RAS
565|2366|8|bus|3|1|Bus bondé...
566|32672|2|métro|2|2|Retard > 30min!!!
567|14671|5|tram|3|5|👍
568|32628|4|bus|1|2|RAS
569|31485|2|bus|3|3|Trajet OK
570|12020|2|bus|2|2|Bus bondé...
571|34694|2|voiture|3|3|« Pas d'info »
572|27564|4|métro|5|3|« Pas d'info »
573|18540|2|métro||1|« Pas d'info »
574|8640|6|tram|3|3|Bus bondé...
575|3156|7|métro|3|3|Clim en panne
576|20182|5|métro|2|1|Bus bondé...
577|27166|1|bus|2|3|
578|7476|10|tram|2|1|RAS
579|22286|7|métro|1|1|« Pas d'info »
580|22683|2|métro|5|2|"Service interrompu|extra"
581|24768|10|bus||2|Station sale
582|17729|9|voiture|3|3|« Pas d'info »
583|26004|9|bus|2|3|👍
584|2005|2|métro|2|2|Bus bondé...
585|31255|1|métro|1|3|👍
586|31942|8|tram|3|3|Null
587|26850|1|métro|2|3|Service interrompu
588|25055|7|métro|4|3|Correspondance ratée
589|19829|3|métro|2|3|Correspondance ratée
590|1940|6|voiture|3|2|"« Pas d'info »|extra"
591|28911|5|bus|4|4|Station sale
592|6237|10|tram|2|1|Insécurité ressentie la nuit
593|167|2|tram|3|4|👍
594|4933|2|vélo|3|2|Clim en panne
595|6801|3|tram|3|3|« Pas d'info »
596|17485|6|bus|2|2|Service interrompu
597|18068|6|tram|2|2|Clim en panne
598|59|1|tram|3|3|Null
599|10884|6|bus|3|3|"Trop de retard 😡|extra"
600|28046|10|voiture|1|3|Trajet OK
601|34969|6|bus|2|5|Service interrompu
602|6205|1|métro|3|2|« Pas d'info »
603|25017|8|bus|4|1|Clim en panne
604|26079|9|bus|4|3|
605|15800|3|vélo|4|2|Correspondance ratée
606|26737|2|métro|4|4|Retard > 30min!!!
607|2299|6|tram|1|3|RAS
608|10609|5|bus|4|4|Station sale
609|10135|2|bus|3|4|Clim en panne
610|33121|7|voiture|4|3|Insécurité ressentie la nuit
611|16987|9|tram|3|3|
612|21187|2|voiture|2|2|Clim en panne
613|20549|5|bus||2|Clim en panne
614|33274|8|tram|3|2|Clim en panne
615|33514|8|bus|5|3|Service interrompu
616|4624|8|métro|2|1|Trop de retard 😡
617|17966|1|bus|4|4|« Pas d'info »
618|16351|8|voiture|3|2|RAS
619|31055|4|voiture|3|4|« Pas d'info »
620|15378|2|vélo|4|2|👍
621|25243|10|métro|3|2|RAS
622|7152|7|métro|4|4|Correspondance ratée
623|31742|10|métro|4|3|Bus bondé...
624|5957|2|tram|2|1|👍
625|5708|5|vélo|3|2|Trajet OK
626|3922|10|voiture|3|2|Null
627|28914|8|bus|2|3|Trop de retard 😡
628|27634|10|voiture|2|3|Null
629|12776|1|métro|2|2|Insécurité ressentie la nuit
630|16429|7|voiture|1|2|👍
631|29625|1|tram|3|4|Correspondance ratée
632|30613|5|tram|3|4|Service interrompu
633|8811|7|voiture|4|3|
634|34740|2|bus||2|Insécurité ressentie la nuit
635|6028|8|bus|4|3|Service interrompu
636|12708|3|bus|3|4|Clim en panne
637|11639|3|bus|3|5|Station sale
638|27384|4|bus|4|1|« Pas d'info »
639|29581|3|vélo|1|1|
640|18633|5|voiture|2|1|Service interrompu
641|34740|4|bus|1|1|Station sale
642|32785|3|bus|3|2|Service interrompu
643|11293|10|vélo|1|2|👍
644|5084|4|bus|4|2|Bus bondé...
645|18184|6|métro|3|3|👍
646|3179|5|métro||4|Trajet OK
647|22374|6|vélo|1|2|Correspondance ratée
648|30658|3|vélo|2|1|Bus bondé...
649|20044|9|métro|3|3|
650|12371|5|bus|3|4|Trop de retard 😡
651|1863|6|métro|3|3|👍
652|21819|9|bus|2|3|RAS
653|23227|2|métro|2|3|
654|16614|10|métro|2|2|Clim en panne
