event_id,time_id,line_id,stop_id,heure_theorique,heure_reelle,retard_s,annule,charge_estimee,vehicle_id
40,21069.0,10,S1155,20:00:00,19:54:58,-302.0,0,44,
41,6597.0,1,S1088,20:00:00,20:02:27,147.0,0,40,
42,29004.0,5,S1156,11:00:00,11:04:53,293.0,0,30,V00656
43,6210.0,1,S1168,17:00:00,17:00:48,48.0,0,29,V00302
44,1927.0,4,S1076,06:00:00,05:59:25,-35.0,0,27,V00512
45,35000.0,14,S1094,07:00:00,07:05:16,316.0,0,23,V00005
46,34280.0,7,S1070,07:00:00,07:02:48,168.0,0,31,V00679
47,20644.0,12,S1013,03:00:00,03:03:26,206.0,0,45,V00088
48,25319.0,5,S1144,22:00:00,22:05:14,314.0,0,39,V00469
49,22855.0,13,S1000,06:00:00,06:07:41,461.0,0,56,V00671
50,14210.0,2,S1004,01:00:00,01:04:22,262.0,0,71,V00285
51;14992.0;3;S1041;15:00:00;14:59:29;-31.0;0;28;
52,33335.0,15,S1163,22:00:00,22:06:24,384.0,0,49,
53,21311.0,12,S1060,22:00:00,22:01:44,104.0,0,77,V00417
54,10829.0,7,S1166,04:00:00,04:04:15,255.0,0,81,V00565
55,6667.0,11,S1120,18:00:00,17:55:45,-255.0,0,51,V00861
56,35052.0,10,S1136,11:00:00,11:03:54,234.0,0,69,V00086
57,2022.0,2,S1009,05:00:00,04:58:39,-81.0,0,38,
58,25220.0,7,S1033,19:00:00,19:02:58,178.0,0,34,V00725
59,7238.0,15,S1104,13:00:00,12:55:36,-264.0,0,37,
60,7144.0,12,S1058,15:00:00,14:59:01,-59.0,0,17,V00261
61,20057.0,14,S1143,16:00:00,16:06:04,364.0,0,59,
62,23997.0,14,S1063,20:00:00,19:52:01,-479.0,0,58,
63,23659.0,7,S1165,18:00:00,17h59,-21.0,0,18,V00323
64,12667.0,8,S1000,18:00:00,18:01:35,95.0,0,20,
65,29876.0,3,S1077,19:00:00,19:04:42,282.0,0,38,
66,24310.0,2,S1156,21:00:00,20:59:47,-13.0,0,13,V00777
67,22640.0,5,S1104 ,07:00:00,06:59:15,-45.0,0,46,
68,30309.0,8,S1037,20:00:00,20:05:04,304.0,0,9,V00236
69,25569.0,4,S1154,08:00:00,08:00:11,11.0,0,51,V00526
70,1835.0,14,S1139,10:00:00,10:06:06,366.0,0,34,
71,18112.0,2,S1176,15:00:00,14:59:45,-15.0,0,14,V00296
72,9694.0,14,S1032,21:00:00,21:06:41,401.0,0,70,
73,655.0,13,S1165,06:00:00,06:09:44,584.0,0,51,V00031
74,32714.0,14,S1000,01:00:00,01:04:51,291.0,0,43,
75,11692.0,5,S1012,03:00:00,02:59:45,-15.0,0,19,V00072
76,6646.0,12,S1008,21:00:00,21:00:37,37.0,0,41,V00577
77,25672.0,7,S1130,15:00:00,14:56:41,-199.0,0,23,V00785
78,29881.0,1,S1165,00:00:00,00:02:13,133.0,0,-3,V00111,"note multi
ligne"
79,17541.0,5,S1105,20:00:00,19:55:26,-274.0,0,55,
80,25660.0,14,S1098,03:00:00,03:01:46,106.0,0,28,V00411
81,14695.0,3,S1004,06:00:00,06:05:36,336.0,0,32,V00111
82,3013.0,14,S1141,12:00:00,12:09:23,563.0,0,10,V00867
83,7430.0,5,S1152,13:00:00,12:55:36,-264.0,0,17,
84,27372.0,9,S1000,11:00:00,11:04:53,293.0,0,62,
85,11743.0,12,S1033,06:00:00,06:01:28,88.0,0,0,V00298
86,2293.0,7,S1094,12:00:00,11:59:37,-23.0,0,8,V00396
87,3295.0,9,S1112,06:00:00,05:59:12,-48.0,0,28,V00069
88,34286.0,7,S1045,13:00:00,12:57:52,-128.0,0,30,
89,10634.0,2,S1029,01:00:00,01:03:08,188.0,0,9999,
90,22501.0,2,S1023,12h00,12:06:40,400.0,0,0,V00018
91,8761.0,2,S1050,00:00:00,23:54:48,-312.0,0,15,
92,13550.0,4,S1003,13:00:00,12:59:59,-1.0,0,65,
93,15228.0,11,S1013,11:00:00,10:57:45,-135.0,0,79,V00868
94,26315.0,5,S1134,10:00:00,10:09:59,599.0,0,56,
95,24130.0,1,S1044,09:00:00,09:04:42,282.0,0,54,V00702
96,9507.0,14,S1087,02:00:00,02:03:14,194.0,0,49,
97,12838.0,12,S1074,21:00:00,,nan,1,63,
98,7822.0,15,S1149,21:00:00,21:08:02,482.0,0,60,
99,20614.0,15,S1025,21:00:00,21:03:33,213.0,0,30,V00001
100,13213.0,11,S1056,12:00:00,12:01:27,87.0,0,63,
101;33313.0;5;S1036;00:00:00;00:02:33;153.0;0;40;V00219
102,19421.0,1,S1008,04h00,03:56:15,-225.0,0,41,V00215
103,7184.0,13,S1127,07:00:00,07:03:15,195.0,0,61,V00054
104,19032.0,1,S1109,23:00:00,22:59:04,-56.0,0,36,
105,8295.0,12,S1173,14:00:00,14:01:07,67.0,0,18,V00482
106,34211.0,11,S1045,10:00:00,10:08:57,537.0,0,6,V00385
107,31555.0,1,S1009,18:00:00,17:57:29,-151.0,0,68,V00726
108,30914.0,9,S1033,01:00:00,01:01:16,76.0,0,28,V00407
109,20128.0,5,S1107,15:00:00,14:56:18,-222.0,0,42,
110,28369.0,4,S1122,00:00:00,00:07:02,422.0,0,80,
111,5095.0,5,S1078,06h00,06:05:32,332.0,0,21,V00430
112,26547.0,13,S1165,02:00:00,02:06:01,361.0,0,46,V00075
113,28359.0,11,S1093,14:00:00,14:08:45,525.0,0,73,
114,25958.0,5,S1097,13:00:00,12:58:11,-109.0,0,40,V00580
115,16940.0,7,S1151,19:00:00,19:06:22,382.0,0,73,V00645
116,19257.0,5,S1091,08:00:00,08:03:20,200.0,0,62,
117,9963.0,4,S1027,02:00:00,02:02:46,166.0,0,46,V00204
118,13583.0,8,S1033,22:00:00,22:04:32,272.0,0,57,V00798
119,2514.0,11,S1093,17:00:00,17:00:12,12.0,0,27,
120,19602.0,2,S1168,17:00:00,17h05,309.0,0,64,V00692
121,34419.0,11,S1108,02:00:00,02:01:03,63.0,0,67,
122,2378.0,9,S1090,01:00:00,01:02:57,177.0,0,16,V00277
123,35034.0,5,S1021,17:00:00,17:02:37,157.0,0,17,V00345
124,nan,12,S1157,20:00:00,20:00:01,1.0,0,56,V00090
125,23605.0,10,S1163,12:00:00,12:06:46,406.0,0,53,V00319
126,17448.0,13,S1056,23:00:00,22:58:06,-114.0,0,33,V00341
127,944.0,13,S1066,07:00:00,07:06:59,419.0,0,41,V00016
128,32434.0,3,S1168,09:00:00,09:00:23,23.0,0,54,
129,12798.0,5,S1049,05:00:00,05:02:31,151.0,0,27,V00420
130,2176.0,8,S1028,15:00:00,15:08:04,484.0,0,0,
131,8774.0,8,S1005,13h00,12:55:59,-241.0,0,57,V00777
132,16039.0,10,S1171,06:00:00,05:59:53,-7.0,0,55,
133,18411.0,2,S1164,02:00:00,,nan,1,45,
134,1025.0,8,S1005,16:00:00,15:53:55,-365.0,0,37,
135,34085.0,3,S1167,04:00:00,04:00:22,22.0,0,34,
136,21004.0,11,S1140,03:00:00,03:01:06,66.0,0,69,V00121
137,20533.0,5,S1091,12:00:00,11:58:31,-89.0,0,35,V00138
138,10111.0,5,S1013,06:00:00,05:56:59,-181.0,0,56,
139,23260.0,8,S1149,03:00:00,03:02:25,145.0,0,8,V00253
140,26485.0,5,S1033,12h00,12:01:27,87.0,0,50,
141,658.0,14,S1161,09:00:00,08:55:33,-267.0,0,52,V00724
142,29369.0,3,S1097,16:00:00,15:59:42,-18.0,0,29,
143,7494.0,2,S1092,05:00:00,04:57:11,-169.0,0,43,V00104
144,3522.0,5,S1025,17:00:00,17:01:47,107.0,0,33,V00012
145,13479.0,8,S1064,14:00:00,14h00,49.0,0,42,
146,4842.0,8,S1087,17:00:00,16:59:59,-1.0,0,28,
147,28295.0,15,S1038,22:00:00,22:01:44,104.0,0,42,V00062
148,24209.0,13,S1171,16h00,16h02,144.0,0,79,
149,22435.0,8,S1059,18:00:00,18:01:39,99.0,0,71,V00477
150,28049.0,10,S1028,16:00:00,16:05:01,301.0,0,37,V00817
151;8996.0;14;S1063;19:00:00;19:07:12;432.0;0;33;V00499
152,52.0,9,S1126,03:00:00,02:53:07,-413.0,0,46,V00182
153,31329.0,14,S1047,08:00:00,08:00:09,9.0,0,99,
154,30015.0,2,S1064,14:00:00,13:56:58,-182.0,0,52,
155,12790.0,14,S1161,21:00:00,21:07:57,477.0,0,38,V00699,"note multi
ligne"
156,29332.0,14,S1115,03:00:00,02:59:09,-51.0,0,32,
157,3372.0,8,S1150,11:00:00,11:03:41,221.0,0,30,
158,31647.0,12,S1128,14:00:00,13:57:55,-125.0,0,42,V00573
159,1505.0,10,S1078,16h00,16:03:26,206.0,0,53,
160,2246.0,10,S1169,13:00:00,13:06:01,361.0,0,9,V00193
161,15783.0,3,S1142,14:00:00,14:03:41,221.0,0,31,V00459
162,33082.0,13,S1006,09:00:00,,nan,1,27,V00522
163,30202.0,3,S1054,09h00,09:01:11,71.0,0,65,
164,15814.0,5,S1172,21:00:00,21:03:56,236.0,0,0,
165,2510.0,2,S1088,13:00:00,12:57:35,-145.0,0,44,
166,29216.0,12,S1087,07:00:00,07:04:54,294.0,0,22,V00196
167,31112.0,1,S1018,07:00:00,07:04:55,295.0,0,83,V00750
168,25596.0,9,S1138,11:00:00,11:00:41,41.0,0,51,
169,4373.0,13,S1067,04:00:00,04:06:41,401.0,0,52,V00788
170,14874.0,5,S1002,17:00:00,17:04:09,249.0,0,44,V00135
171,12103.0,12,S1006,06:00:00,05:59:25,-35.0,0,53,
172,20747.0,11,S1025,10:00:00,10:02:00,120.0,0,62,V00430
173,23645.0,14,S1168,04:00:00,04h01,114.0,0,68,
174,5873.0,8,S1086,16:00:00,16:00:39,39.0,0,32,V00660
175,29389.0,7,S1101,12:00:00,11:57:43,-137.0,0,32,V00393
176,2105.0,2,S1165,16:00:00,16:01:48,108.0,0,52,V00120
177,9502.0,4,S1060,21:00:00,21:05:08,308.0,0,62,V00405
178,21552.0,11,S1121,23:00:00,,nan,1,36,
179,16819.0,12,S1107,18:00:00,18:01:08,68.0,0,67,V00431
180,24807.0,4,S1124,14:00:00,13:58:05,-115.0,0,72,
181,19686.0,10,S1046,05:00:00,05:07:41,461.0,0,79,
182,26230.0,5,S1120,21:00:00,21:02:42,162.0,0,41,
183,13095.0,8,S1087,14:00:00,13:53:55,-365.0,0,57,V00218
184,13105.0,10,S1121,00:00:00,00:08:56,536.0,0,18,V00001
185,19951.0,3,S1105,06:00:00,05:59:36,-24.0,0,58,V00277
186,7472.0,14,S1114,07:00:00,06:58:49,-71.0,0,42,V00886
187,8285.0,10,S1114,04:00:00,04:05:31,331.0,0,58,V00823
188,3051.0,2,S1053,02:00:00,01:58:46,-74.0,0,35,
189,4221.0,9,S1097,20:00:00,19:54:17,-343.0,0,50,
190,33112.0,5,S1025,15:00:00,14:57:56,-124.0,0,62,V00607
191,18022.0,10,S1063,21:00:00,21:09:15,555.0,0,56,
192,34356.0,13,S1042,11:00:00,11:05:39,339.0,0,24,
193,3054.0,14,S1140,05:00:00,04:59:28,-32.0,0,11,V00312
194,23739.0,13,S1144,02:00:00,01:59:58,-2.0,0,76,
195,1465.0,5,S1133,00:00:00,23:59:58,-2.0,0,27,
196,16553.0,5,S1066,16:00:00,16:06:52,412.0,0,32,
197,4125.0,14,S1136,20:00:00,20:00:31,31.0,0,59,V00021
198,14112.0,13,S1058,23:00:00,,nan,1,57,
199,24475.0,11,S1147,18:00:00,17:55:33,-267.0,0,38,
200,9855.0,2,S1011,14:00:00,14:01:28,88.0,0,82,
201;19739.0;7;S1030;10:00:00;10h02;174.0;0;73;V00216
202,3916.0,10,S1159,03:00:00,03:09:52,592.0,0,9,
203,7948.0,9,S1092,03:00:00,02:58:18,-102.0,0,51,
204,5147.0,5,S1042,10:00:00,10:00:44,44.0,0,53,V00192
205,9446.0,5,S1156,13:00:00,12:54:31,-329.0,0,53,V00404
206,26632.0,5,S1130,15:00:00,15:03:49,229.0,0,51,V00875
207,9588.0,1,S1146,11:00:00,10:58:46,-74.0,0,55,V00617
208,7430.0,1,S1022,13:00:00,13:00:44,44.0,0,41,V00658
209,20548.0,5,S1151,03:00:00,02:59:02,-58.0,0,51,
210,12724.0,12,S1140,03:00:00,03:00:13,13.0,0,47,V00591
211,21215.0,11,S1139,22:00:00,22:03:57,237.0,0,78,V00103
212,22084.0,1,S1064,03:00:00,03:10:06,606.0,0,46,
213,4597.0,8,S1097,12:00:00,12:02:39,159.0,0,60,
214,22571.0,5,S1050,10:00:00,09:59:50,-10.0,0,66,
215,639.0,3,S1105,14:00:00,14:00:39,39.0,0,37,V00044
216,18383.0,4,S1037,22:00:00,22:07:47,467.0,0,22,
217,3867.0,2,S1015,02:00:00,02:05:24,324.0,0,41,V00150
218,14026.0,8,S1078,09:00:00,09:05:32,332.0,0,58,V00219
219,30360.0,11,S1134,23:00:00,22:59:26,-34.0,0,22,V00453
220,25408.0,11,S1104,15:00:00,15:05:40,340.0,0,34,
221,34748.0,15,S1151,19:00:00,19:03:19,199.0,0,51,V00265
222,25692.0,8,S1118,11:00:00,11:07:38,458.0,0,4,
223,1153.0,11,S1059,00h00,00:01:15,75.0,0,50,
224,473.0,8,S1127,16:00:00,15:54:15,-345.0,0,103,V00010
225,30042.0,2,S1027,17:00:00,16:58:22,-98.0,0,29,V00792
226,27834.0,15,S1172,17:00:00,17:08:13,493.0,0,7,V00625
227,14976.0,12,S1059,23:00:00,23:00:30,30.0,0,57,
228,27761.0,8,S1047,16:00:00,,nan,1,43,
229,6563.0,4,S1071,10:00:00,09:57:42,-138.0,0,50,V00337
230,20254.0,9,S1086,21:00:00,21:01:40,100.0,0,52,
231,16822.0,13,S1031,21:00:00,21:02:10,130.0,0,41,V00851
232,24761.0,5,S1176,16:00:00,16:00:31,31.0,0,42,,"note multi
ligne"
233,18257.0,4,S1017,16:00:00,16:07:20,440.0,0,36,
234,12475.0,10,S1023,18:00:00,17:58:39,-81.0,0,67,
235,6569.0,14,S1064,16:00:00,16:05:34,334.0,0,37,V00304
236,10753.0,4,S1141,00:00:00,00:06:07,367.0,0,13,V00396
237,12776.0,5,S1161,07:00:00,06:56:04,-236.0,0,13,V00076
238,28979.0,9,S1027,10:00:00,10:01:29,89.0,0,34,
239,2944.0,10,S1104,15:00:00,15:06:15,375.0,0,73,V00077
240,10326.0,7,S1031,05:00:00,04:58:08,-112.0,0,71,
241,12243.0,4,S1170,02:00:00,02:05:09,309.0,0,52,
242,18175.0,9,S1014,06:00:00,05:58:30,-90.0,0,27,
243,33485.0,11,S1127,04:00:00,04:03:08,188.0,0,48,V00093
244,31440.0,15,S1106,23:00:00,23:00:24,24.0,0,6,
245,2908.0,9,S1166,03:00:00,02:56:33,-207.0,0,50,V00214
246,4101.0,2,S1049,20:00:00,20:01:14,74.0,0,32,V00597
247,26173.0,3,S1151,12:00:00,12:00:25,25.0,0,4,V00652
248,26676.0,8,S1146,11:00:00,11:05:26,326.0,0,45,V00249
249,3249.0,11,S1171,08:00:00,07:59:04,-56.0,0,50,
250,33556.0,10,S1027,03:00:00,03:00:44,44.0,0,56,V00016
251;13960.0;2;S1079;15:00:00;15:04:02;242.0;0;28;
252,20489.0,13,S1097,16:00:00,16:01:43,103.0,0,41,
253,24847.0,12,S1006,06:00:00,06:02:39,159.0,0,29,
254,9668.0,5,S1102,19:00:00,19:00:30,30.0,0,0,
255,11176.0,15,S1078,15h00,14:54:55,-305.0,0,8,
256,24248.0,13,S1115,07:00:00,07h01,92.0,0,42,V00616
257,8604.0,7,S1130,11:00:00,11:03:50,230.0,0,76,V00378
258,982.0,13,S1002,21:00:00,21:02:45,165.0,0,16,V00381
259,8091.0,10,S1172,02:00:00,01:56:12,-228.0,0,82,
260,754.0,1,S1100,09:00:00,09:07:16,436.0,0,13,V00638
261,10414.0,11,S1099,21:00:00,20:59:33,-27.0,0,40,V00465
262,21667.0,5,S1156,18:00:00,18:04:49,289.0,0,29,
263,20169.0,1,S1059,08:00:00,07:57:35,-145.0,0,51,V00131
264,20174.0,5,S1077,13:00:00,13:10:02,602.0,0,31,V00602
265,19697.0,5,S1131,16:00:00,16:06:17,377.0,0,52,V00496
266,1633.0,5,S1021,00:00:00,00:03:44,224.0,0,20,V00853
267,17998.0,10,S1086,21:00:00,21:04:07,247.0,0,56,
268,12785.0,12,S1098,16:00:00,15:57:18,-162.0,0,22,V00589
269,33324.0,15,S1058,11:00:00,10:59:04,-56.0,0,13,
270,29723.0,12,S1167,10:00:00,10:04:13,253.0,0,42,
271,16406.0,15,S1126,13:00:00,12:58:21,-99.0,0,21,V00139
272,28405.0,13,S1083,12:00:00,12:00:18,18.0,0,50,
273,17820.0,2,S1065,11h00,11:02:46,166.0,0,69,
274,30963.0,5,S1024,02:00:00,02:03:10,190.0,0,47,
275,12676.0,1,S1119,03:00:00,02:56:18,-222.0,0,46,
276,25486.0,14,S1161,21:00:00,21:03:07,187.0,0,70,V00888
277,32073.0,5,S1060,08:00:00,08:09:03,543.0,0,1,
278,24797.0,12,S1123,04:00:00,04:02:16,136.0,0,67,V00396
279,6706.0,4,S1112,09:00:00,09:00:43,43.0,0,53,V00188
280,6492.0,10,S1116,11:00:00,11:03:12,192.0,0,79,
281,2505.0,7,S1109,08:00:00,08:02:04,124.0,0,57,
282,27639.0,8,S1141,14:00:00,,nan,1,27,V00643
283,10480.0,2,S1123,15:00:00,15:06:25,385.0,0,17,V00158
284,29633.0,8,S1021,16:00:00,16:03:39,219.0,0,15,
285,10933.0,7,S1039,12:00:00,12:03:06,186.0,0,36,V00319
286,32933.0,5,S1088,04:00:00,03:57:20,-160.0,0,46,V00234
287,20221.0,13,S1164,12:00:00,12:05:33,333.0,0,39,
288,17675.0,10,S1102,10:00:00,10:02:44,164.0,0,9,
289,10427.0,5,S1022,10:00:00,09:57:14,-166.0,0,15,V00838
290,5450.0,1,S1150,01:00:00,01:00:12,12.0,0,30,
291,1190.0,15,S1061,13:00:00,13:02:27,147.0,0,28,
292,29397.0,1,S1146,20:00:00,20:01:38,98.0,0,24,
293,1111.0,11,S1137,06:00:00,06:00:45,45.0,0,57,
294,8976.0,8,S1068,23:00:00,22:56:31,-209.0,0,12,V00626
295,1665.0,9,S1138,08:00:00,08:11:31,691.0,0,52,V00256
296,32533.0,11,S1151,12:00:00,11:57:37,-143.0,0,28,V00743
297,15531.0,1,S1077,02:00:00,01h58,-84.0,0,33,V00195
298,26861.0,12,S1050,04:00:00,04h00,46.0,0,14,V00163
299,23318.0,12,S1058,13:00:00,12:59:13,-47.0,0,53,V00758
300,19353.0,8,S1004,08:00:00,08:03:16,196.0,0,53,V00645
301;13616.0;12;S1033;07:00:00;07:03:39;219.0;0;30;V00568
302,30379.0,13,S1085,18:00:00,18:09:59,599.0,0,49,V00202
303,18355.0,5,S1167,18:00:00,17:59:29,-31.0,0,28,
304,8096.0,13,S1153,07:00:00,07:00:37,37.0,0,56,V00704
305,8233.0,2,S1179,00:00:00,00:07:18,438.0,0,67,
306,1770.0,5,S1173,17:00:00,16:59:22,-38.0,0,10,V00398
307,34151.0,9,S1015,22:00:00,22:05:23,323.0,0,12,V00495
308,19413.0,13,S1144,20:00:00,20:08:20,500.0,0,28,V00619
309,35014.0,5,S1136,21:00:00,21:01:49,109.0,0,30,,"note multi
ligne"
310,5942.0,10,S1084,13:00:00,13:03:33,213.0,0,40,
311,198.0,2,S1170,05:00:00,04h52,-431.0,0,49,V00081
312,7596.0,14,S1002,11:00:00,11:00:46,46.0,0,65,V00432
313,2118.0,3,S1089,05:00:00,05:08:39,519.0,0,54,
314,19696.0,12,S1060,15:00:00,14:58:26,-94.0,0,54,V00049
315,16567.0,1,S1013,06:00:00,06:00:50,50.0,0,38,
316,23727.0,11,S1012,14:00:00,,nan,1,48,V00107
317,31373.0,1,S1142,04:00:00,04:05:36,336.0,0,39,V00112
318,34594.0,5,S1080,09:00:00,09:02:15,135.0,0,80,V00040
319,24571.0,5,S1067,18:00:00,18:06:26,386.0,0,46,V00525
320,4768.0,1,S1179,15h00,15:02:23,143.0,0,37,V00262
321,4831.0,7,S1062,06:00:00,06:05:25,325.0,0,31,
322,25782.0,10,S1141,05:00:00,04:59:31,-29.0,0,33,
323,1071.0,15,S1060,14:00:00,14:00:23,23.0,0,41,
324,574.0,11,S1100,21:00:00,20:58:28,-92.0,0,60,V00245
325,15352.0,5,S1120,15:00:00,15:03:37,217.0,0,40,
326,11001.0,7,S1047,08:00:00,08:06:41,401.0,0,53,V00758
327,24509.0,7,S1126,04:00:00,04:04:14,254.0,0,31,
328,34931.0,7,S1035,10:00:00,,nan,1,63,V00722
329,4714.0,1,S1074,09:00:00,09:03:11,191.0,0,65,V00402
330,25849.0,2,S1020,00:00:00,00:01:23,83.0,0,27,
331,15156.0,13,S1104,11:00:00,11:05:35,335.0,0,49,V00264
332,26669.0,3,S1123,04:00:00,04h00,20.0,0,34,V00431
333,6524.0,7,S1086,19:00:00,18:57:49,-131.0,0,44,V00844
334,5049.0,12,S1171,08:00:00,08:05:20,320.0,0,51,V00611
335,24154.0,15,S1150,09:00:00,09:03:47,227.0,0,8,
336,16748.0,7,S1131,19:00:00,18:59:20,-40.0,0,54,V00503
337,4034.0,1,S1096,01:00:00,01:00:33,33.0,0,47,
338,26563.0,9,S1085,18:00:00,18:02:51,171.0,0,28,
339,6346.0,2,S1110,09:00:00,09:03:01,181.0,0,60,
340,28915.0,2,S1174,18:00:00,18:04:50,290.0,0,15,
341,27447.0,8,S1128,14:00:00,14:00:59,59.0,0,18,
342,3759.0,12,S1175,14:00:00,13:58:19,-101.0,0,57,
343,12698.0,7,S1150,01:00:00,01:06:24,384.0,0,35,V00301
344,21342.0,8,S1053,05:00:00,05:01:40,100.0,0,30,
345,5110.0,10,S1081,21:00:00,21:01:54,114.0,0,34,V00533
346,1167.0,14,S1018,14:00:00,14:04:48,288.0,0,75,V00180
347,29502.0,12,S1123,05:00:00,05:02:43,163.0,0,14,V00738
348,14871.0,9,S1101,14:00:00,14:02:13,133.0,0,84,
349,3561.0,12,S1105,08h00,08:08:00,480.0,0,41,
350,20232.0,1,S1038,23:00:00,23:07:17,437.0,0,23,V00071
351;27070.0;1;S1059;21:00:00;20:54:37;-323.0;0;49;
352,18806.0,1,S1094,13:00:00,12:56:59,-181.0,0,32,V00130
353,3754.0,15,S1079,09:00:00,09:02:38,158.0,0,69,V00234
354,34739.0,5,S1104,10:00:00,10:04:56,296.0,0,6,V00491
355,21224.0,15,S1073,07:00:00,06:55:26,-274.0,0,72,
356,24322.0,4,S1161,09:00:00,09:03:14,194.0,0,42,V00573
357,8337.0,1,S1091,08:00:00,07:59:42,-18.0,0,45,V00670
358,5460.0,4,S1018,11:00:00,11:00:21,21.0,0,70,
359,33412.0,15,S1029,03:00:00,02:57:44,-136.0,0,18,V00873
360,10948.0,1,S1119,03:00:00,03h04,289.0,0,10,
361,9699.0,5,S1175,02:00:00,01:53:14,-406.0,0,66,V00631
362,25695.0,13,S1092,14:00:00,14:06:44,404.0,0,17,V00630
363,1184.0,12,S1025,07:00:00,07:03:09,189.0,0,49,
364,14583.0,13,S1102,14:00:00,13:55:59,-241.0,0,41,V00076
365,5484.0,14,S1145,11:00:00,11:05:45,345.0,0,27,
366,23345.0,13,S1050,16:00:00,16:02:08,128.0,0,40,V00287
367,17975.0,13,S1152,22:00:00,21:59:08,-52.0,0,8,V00218
368,6495.0,4,S1169,14:00:00,13:58:56,-64.0,0,24,V00209
369,26219.0,4,S1044,10:00:00,09:58:59,-61.0,0,41,V00767
370,1255.0,2,S1161,06:00:00,06:02:22,142.0,0,56,
371,15994.0,7,S1046,09:00:00,09:00:38,38.0,0,84,
372,31466.0,11,S1135,01:00:00,00:53:53,-367.0,0,54,V00017
373,6049.0,4,S1102,00:00:00,23:56:21,-219.0,0,56,
374,32810.0,7,S1132,01:00:00,00:59:07,-53.0,0,81,
375,33473.0,15,S1171,16:00:00,16:06:03,363.0,0,85,
376,1098.0,5,S1059,17:00:00,17:00:45,45.0,0,65,V00071
377,14979.0,1,S1084,02:00:00,01:58:58,-62.0,0,61,
378,24883.0,12,S1091,18:00:00,18:00:10,10.0,0,30,
379,13895.0,7,S1037,22:00:00,22:04:42,282.0,0,51,
380,21410.0,10,S1111,01:00:00,01:03:25,205.0,0,0,V00276
381,8893.0,9,S1178,12:00:00,12:01:50,110.0,0,36,V00422
382,22632.0,2,S1169,23:00:00,23:05:24,324.0,0,50,
383,400.0,3,S1013,15:00:00,15:10:35,635.0,0,76,V00457
384,1676.0,15,S1122,19:00:00,19:00:15,15.0,0,28,V00256
385,141.0,4,S1011,20:00:00,20:05:48,348.0,0,62,V00062
386,5176.0,11,S1000,15:00:00,15:02:01,121.0,0,55,V00048,"note multi
ligne"
387,32306.0,8,S1126,01:00:00,01:04:51,291.0,0,46,
388,22683.0,12,S1137,02:00:00,02:05:16,316.0,0,8,V00181
