25/01/2020 13:00 | zone=1 | sensor=AQ-03 | pm25=NA | no2=20.12
17/05/2021 14:00 | zone=5 | sensor=AQ-99 | pm25=-5 | no2=36.89
21/07/2021 09:00 | zone=8 | sensor=AQ-03 | pm25=22.95 | no2=N/A
11/12/2021 14:00 | zone=9 | sensor=AQ-01 | pm25=-5 | no2=-1
19/12/2020 04:00 | zone=999 | sensor=AQ-01 | pm25=-5 | no2=-1
29/05/2019 14:00 | zone=6 | sensor=AQ-03 | pm25=NA | no2=N/A
14/07/2021 01:00 | zone=4 | sensor=AQ-02 | pm25=-5 | no2=41.01
15/11/2020 04:00 | zone=10 | sensor=AQ-03 | pm25=10.32 | no2=-1
20/04/2020 01:00 | zone=1 | sensor=AQ-02 | pm25=-5 | no2=-1
21/04/2021 10:00 | zone=9 | sensor=AQ-99 | pm25=12,3 | no2=N/A
06/12/2021 09:00 | zone=7 | sensor=AQ-01 | pm25=-5 | no2=40,7
28/05/2019 11:00 | zone=9 | sensor=AQ-02 | pm25= | no2=-1
05/05/2022 17:00 | zone=9 | sensor=AQ-02 | pm25=0 | no2=
09/08/2020 05:00 | zone=999 | sensor=AQ-03 | pm25=NA | no2=
01/05/2020 02:00 | zone=3 | sensor=AQ-01 | pm25=NA | no2=-1
14/11/2021 21:00 | zone=5 | sensor=AQ-01 | pm25=9.27 | no2=
04/06/2021 16:00 | zone=4 | sensor=AQ-01 | pm25=NA | no2=
20/05/2019 09:00 | zone=999 | sensor=AQ-01 | pm25=-5 | no2=40,7
18/01/2020 14:00 | zone=999 | sensor=AQ-03 | pm25=12,3 | no2=N/A
02/12/2021 06:00 | zone=1 | sensor=AQ-02 | pm25= | no2=N/A
06/04/2021 06:00 | zone=6 | sensor=AQ-01 | pm25=NA | no2=59.57
26/03/2020 05:00 | zone=2 | sensor=AQ-01 | pm25=0 | no2=
10/11/2020 11:00 | zone=5 | sensor=AQ-99 | pm25=12,3 | no2=N/A
15/09/2020 09:00 | zone=8 | sensor=AQ-01 | pm25=-5 | no2=
15/09/2019 17:00 | zone=10 | sensor=AQ-99 | pm25=-5 | no2=-1
10/01/2019 03:00 | zone=6 | sensor=AQ-02 | pm25=12,3 | no2=40,7
29/09/2022 15:00 | zone=5 | sensor=AQ-02 | pm25= | no2=40,7
21/05/2022 13:00 | zone=1 | sensor=AQ-99 | pm25=-5 | no2=40,7
18/08/2020 03:00 | zone=10 | sensor=AQ-02 | pm25=18.09 | no2=N/A
07/10/2022 08:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=37.2
16/02/2019 14:00 | zone=6 | sensor=AQ-01 | pm25=-5 | no2=24.62
26/07/2019 15:00 | zone=7 | sensor=AQ-01 | pm25= | no2=38.51
15/09/2021 16:00 | zone=9 | sensor=AQ-99 | pm25=12,3 | no2=40,7
01/03/2020 04:00 | zone=999 | sensor=AQ-01 | pm25=8.44 | no2=N/A
23/07/2019 11:00 | zone=999 | sensor=AQ-99 | pm25= | no2=30.99
02/10/2022 21:00 | zone=10 | sensor=AQ-03 | pm25= | no2=40,7
08/10/2021 06:00 | zone=2 | sensor=AQ-02 | pm25=NA | no2=
28/11/2020 00:00 | zone=9 | sensor=AQ-02 | pm25=12,3 | no2=40,7
21/05/2021 15:00 | zone=6 | sensor=AQ-02 | pm25=NA | no2=32.68
21/02/2019 08:00 | zone=4 | sensor=AQ-01 | pm25=NA | no2=-1
03/01/2021 07:00 | zone=4 | sensor=AQ-03 | pm25=12,3 | no2=-1
03/08/2022 05:00 | zone=8 | sensor=AQ-03 | pm25= | no2=N/A
25/04/2020 22:00 | zone=4 | sensor=AQ-99 | pm25=8.64 | no2=N/A
21/09/2022 07:00 | zone=3 | sensor=AQ-01 | pm25=NA | no2=40,7
09/07/2021 02:00 | zone=9 | sensor=AQ-99 | pm25=12,3 | no2=27.02
10/07/2022 15:00 | zone=3 | sensor=AQ-01 | pm25=NA | no2=
27/01/2020 14:00 | zone=3 | sensor=AQ-02 | pm25=22.61 | no2=40,7
07/01/2019 14:00 | zone=7 | sensor=AQ-03 | pm25= | no2=-1
25/05/2020 03:00 | zone=8 | sensor=AQ-02 | pm25=-5 | no2=-1
09/03/2020 05:00 | zone=8 | sensor=AQ-99 | pm25=-5 | no2=40,7
27/12/2021 14:00 | zone=1 | sensor=AQ-01 | pm25=7.41 | no2=40,7
27/02/2019 04:00 | zone=8 | sensor=AQ-03 | pm25= | no2=
12/03/2021 01:00 | zone=8 | sensor=AQ-99 | pm25=25.4 | no2=7.02
04/04/2021 18:00 | zone=8 | sensor=AQ-02 | pm25= | no2=58.78
24/11/2019 10:00 | zone=2 | sensor=AQ-01 | pm25=NA | no2=
05/11/2020 10:00 | zone=9 | sensor=AQ-02 | pm25=-5 | no2=N/A
07/08/2022 11:00 | zone=4 | sensor=AQ-03 | pm25=NA | no2=30.83
20/03/2022 03:00 | zone=5 | sensor=AQ-03 | pm25= | no2=40,7
12/09/2020 21:00 | zone=3 | sensor=AQ-03 | pm25=22.69 | no2=-1
13/02/2022 00:00 | zone=999 | sensor=AQ-03 | pm25=-5 | no2=N/A
01/03/2020 16:00 | zone=999 | sensor=AQ-03 | pm25=NA | no2=-1
02/08/2020 04:00 | zone=1 | sensor=AQ-99 | pm25=12,3 | no2=N/A
09/05/2022 07:00 | zone=5 | sensor=AQ-99 | pm25= | no2=-1
01/10/2022 03:00 | zone=4 | sensor=AQ-99 | pm25= | no2=-1
11/10/2021 22:00 | zone=7 | sensor=AQ-02 | pm25=-5 | no2=N/A
09/03/2022 14:00 | zone=10 | sensor=AQ-99 | pm25=-5 | no2=29.01
26/12/2020 01:00 | zone=8 | sensor=AQ-99 | pm25=27.15 | no2=40,7
08/06/2019 03:00 | zone=4 | sensor=AQ-99 | pm25=12,3 | no2=16.36
09/01/2021 18:00 | zone=7 | sensor=AQ-02 | pm25=12,3 | no2=-1
12/01/2019 14:00 | zone=10 | sensor=AQ-03 | pm25=-5 | no2=
22/11/2020 16:00 | zone=9 | sensor=AQ-03 | pm25=24.46 | no2=-1
11/10/2019 20:00 | zone=10 | sensor=AQ-02 | pm25=-5 | no2=N/A
21/04/2019 15:00 | zone=10 | sensor=AQ-99 | pm25=NA | no2=-1
08/09/2021 08:00 | zone=6 | sensor=AQ-02 | pm25=-5 | no2=
12/07/2019 20:00 | zone=2 | sensor=AQ-01 | pm25=NA | no2=46.5
02/12/2020 01:00 | zone=3 | sensor=AQ-02 | pm25=23.15 | no2=N/A
18/11/2022 01:00 | zone=9 | sensor=AQ-01 | pm25=16.58 | no2=40,7
27/06/2021 23:00 | zone=999 | sensor=AQ-02 | pm25=19.33 | no2=
09/11/2022 23:00 | zone=3 | sensor=AQ-99 | pm25=-5 | no2=
05/05/2019 16:00 | zone=2 | sensor=AQ-03 | pm25= | no2=40,7
30/06/2022 17:00 | zone=3 | sensor=AQ-99 | pm25=12,3 | no2=59.02
26/09/2021 12:00 | zone=999 | sensor=AQ-02 | pm25=12,3 | no2=57.36
18/07/2020 09:00 | zone=10 | sensor=AQ-99 | pm25=-5 | no2=
02/08/2022 14:00 | zone=7 | sensor=AQ-99 | pm25=-5 | no2=N/A
29/07/2021 11:00 | zone=9 | sensor=AQ-99 | pm25=NA | no2=48.8
08/01/2022 01:00 | zone=4 | sensor=AQ-02 | pm25=12,3 | no2=N/A
09/08/2020 22:00 | zone=8 | sensor=AQ-99 | pm25= | no2=-1
06/07/2021 13:00 | zone=10 | sensor=AQ-03 | pm25=19.99 | no2=N/A
12/12/2021 09:00 | zone=8 | sensor=AQ-02 | pm25=-5 | no2=-1
19/08/2021 16:00 | zone=9 | sensor=AQ-01 | pm25=12,3 | no2=
15/10/2021 10:00 | zone=9 | sensor=AQ-03 | pm25=NA | no2=N/A
24/01/2020 01:00 | zone=1 | sensor=AQ-03 | pm25=-5 | no2=40,7
01/02/2021 15:00 | zone=10 | sensor=AQ-03 | pm25=-5 | no2=N/A
08/03/2020 13:00 | zone=8 | sensor=AQ-03 | pm25=12,3 | no2=N/A
29/03/2019 18:00 | zone=2 | sensor=AQ-03 | pm25=NA | no2=
20/10/2019 22:00 | zone=3 | sensor=AQ-02 | pm25=12,3 | no2=40,7
15/11/2021 20:00 | zone=8 | sensor=AQ-99 | pm25=NA | no2=40,7
03/02/2022 22:00 | zone=1 | sensor=AQ-03 | pm25=NA | no2=
16/07/2019 09:00 | zone=6 | sensor=AQ-01 | pm25=NA | no2=N/A
22/02/2022 05:00 | zone=6 | sensor=AQ-99 | pm25=NA | no2=40,7
12/01/2020 12:00 | zone=8 | sensor=AQ-03 | pm25=12,3 | no2=40,7
12/10/2020 21:00 | zone=999 | sensor=AQ-01 | pm25=-5 | no2=N/A
08/04/2019 19:00 | zone=6 | sensor=AQ-99 | pm25=12,3 | no2=40,7
24/02/2019 10:00 | zone=10 | sensor=AQ-03 | pm25= | no2=27.5
28/12/2019 05:00 | zone=4 | sensor=AQ-99 | pm25=-5 | no2=-1
01/03/2022 13:00 | zone=3 | sensor=AQ-03 | pm25=12,3 | no2=
28/05/2019 13:00 | zone=5 | sensor=AQ-02 | pm25=NA | no2=-1
02/11/2021 04:00 | zone=10 | sensor=AQ-99 | pm25=12,3 | no2=40,7
06/06/2022 13:00 | zone=4 | sensor=AQ-03 | pm25=NA | no2=
11/02/2021 19:00 | zone=7 | sensor=AQ-01 | pm25=NA | no2=N/A
21/06/2020 23:00 | zone=8 | sensor=AQ-01 | pm25=21.88 | no2=40,7
04/01/2021 20:00 | zone=6 | sensor=AQ-99 | pm25=12,3 | no2=N/A
12/10/2019 06:00 | zone=6 | sensor=AQ-03 | pm25=NA | no2=25.47
31/01/2019 04:00 | zone=4 | sensor=AQ-99 | pm25=6.88 | no2=-1
09/08/2021 09:00 | zone=7 | sensor=AQ-03 | pm25=NA | no2=-1
28/09/2019 01:00 | zone=2 | sensor=AQ-02 | pm25= | no2=60.55
21/09/2021 14:00 | zone=8 | sensor=AQ-02 | pm25=12,3 | no2=N/A
17/03/2019 09:00 | zone=5 | sensor=AQ-02 | pm25=3.8 | no2=-1
27/11/2022 22:00 | zone=2 | sensor=AQ-01 | pm25=12,3 | no2=40,7
24/10/2022 23:00 | zone=8 | sensor=AQ-99 | pm25=NA | no2=40,7
07/05/2019 01:00 | zone=9 | sensor=AQ-03 | pm25=13.63 | no2=
10/06/2020 08:00 | zone=8 | sensor=AQ-99 | pm25=12,3 | no2=-1
29/01/2019 06:00 | zone=4 | sensor=AQ-99 | pm25= | no2=-1
06/05/2019 11:00 | zone=7 | sensor=AQ-03 | pm25=19.6 | no2=-1
01/08/2020 12:00 | zone=1 | sensor=AQ-99 | pm25=12,3 | no2=
12/07/2022 00:00 | zone=8 | sensor=AQ-03 | pm25= | no2=N/A
25/10/2021 19:00 | zone=9 | sensor=AQ-01 | pm25= | no2=40,7
18/04/2022 16:00 | zone=999 | sensor=AQ-01 | pm25= | no2=40,7
29/09/2020 11:00 | zone=7 | sensor=AQ-01 | pm25=NA | no2=
22/04/2019 02:00 | zone=2 | sensor=AQ-02 | pm25=12,3 | no2=-1
06/06/2022 23:00 | zone=4 | sensor=AQ-01 | pm25=NA | no2=-1
17/07/2022 06:00 | zone=3 | sensor=AQ-99 | pm25=NA | no2=N/A
03/10/2022 01:00 | zone=6 | sensor=AQ-03 | pm25=22.66 | no2=N/A
20/07/2019 06:00 | zone=999 | sensor=AQ-03 | pm25= | no2=
29/01/2020 23:00 | zone=999 | sensor=AQ-03 | pm25=12,3 | no2=40,7
07/01/2022 09:00 | zone=4 | sensor=AQ-02 | pm25=12,3 | no2=40,7
20/08/2019 00:00 | zone=1 | sensor=AQ-01 | pm25=30.52 | no2=15.27
13/07/2020 10:00 | zone=5 | sensor=AQ-03 | pm25=16.9 | no2=-1
21/01/2019 00:00 | zone=10 | sensor=AQ-03 | pm25=12,3 | no2=
16/10/2022 14:00 | zone=7 | sensor=AQ-03 | pm25=NA | no2=N/A
10/08/2019 17:00 | zone=9 | sensor=AQ-02 | pm25=12,3 | no2=N/A
08/02/2021 22:00 | zone=5 | sensor=AQ-99 | pm25=-5 | no2=29.95
24/06/2021 23:00 | zone=9 | sensor=AQ-99 | pm25= | no2=-1
31/01/2020 09:00 | zone=7 | sensor=AQ-01 | pm25=7.68 | no2=N/A
11/03/2019 19:00 | zone=7 | sensor=AQ-03 | pm25=12,3 | no2=40,7
10/02/2020 16:00 | zone=7 | sensor=AQ-03 | pm25= | no2=N/A
02/09/2022 10:00 | zone=4 | sensor=AQ-03 | pm25= | no2=N/A
28/10/2022 00:00 | zone=999 | sensor=AQ-99 | pm25=NA | no2=N/A
25/04/2021 07:00 | zone=999 | sensor=AQ-02 | pm25=12,3 | no2=14.25
07/09/2021 23:00 | zone=4 | sensor=AQ-02 | pm25=13.91 | no2=
26/07/2020 19:00 | zone=10 | sensor=AQ-03 | pm25=12,3 | no2=N/A
01/01/2021 15:00 | zone=3 | sensor=AQ-03 | pm25=9.99 | no2=40,7
01/02/2019 21:00 | zone=2 | sensor=AQ-99 | pm25=13.48 | no2=21.33
10/02/2022 02:00 | zone=9 | sensor=AQ-03 | pm25= | no2=-1
14/07/2019 03:00 | zone=7 | sensor=AQ-02 | pm25= | no2=43.92
09/12/2022 23:00 | zone=3 | sensor=AQ-99 | pm25=15.97 | no2=29.09
03/11/2021 05:00 | zone=5 | sensor=AQ-01 | pm25= | no2=55.79
21/08/2021 04:00 | zone=8 | sensor=AQ-02 | pm25=NA | no2=-1
25/09/2022 22:00 | zone=8 | sensor=AQ-02 | pm25=10.05 | no2=N/A
12/02/2020 19:00 | zone=999 | sensor=AQ-03 | pm25=15.35 | no2=
14/04/2022 15:00 | zone=8 | sensor=AQ-02 | pm25=NA | no2=N/A
10/05/2021 03:00 | zone=7 | sensor=AQ-02 | pm25=-5 | no2=
03/07/2019 05:00 | zone=10 | sensor=AQ-99 | pm25=21.85 | no2=-1
05/10/2020 04:00 | zone=1 | sensor=AQ-03 | pm25= | no2=N/A
19/03/2019 04:00 | zone=10 | sensor=AQ-02 | pm25= | no2=12.9
08/11/2019 07:00 | zone=10 | sensor=AQ-01 | pm25=22.31 | no2=
14/03/2021 19:00 | zone=6 | sensor=AQ-99 | pm25=5.5 | no2=40,7
11/11/2021 05:00 | zone=4 | sensor=AQ-03 | pm25=-5 | no2=-1
17/12/2021 18:00 | zone=7 | sensor=AQ-03 | pm25=16.1 | no2=-1
15/09/2020 01:00 | zone=3 | sensor=AQ-01 | pm25=NA | no2=
05/05/2022 03:00 | zone=999 | sensor=AQ-03 | pm25=12,3 | no2=-1
10/10/2022 23:00 | zone=999 | sensor=AQ-02 | pm25=13.21 | no2=22.3
24/11/2020 08:00 | zone=2 | sensor=AQ-02 | pm25= | no2=N/A
04/02/2022 03:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=40,7
17/07/2021 05:00 | zone=7 | sensor=AQ-03 | pm25=-5 | no2=33.8
21/10/2019 05:00 | zone=3 | sensor=AQ-01 | pm25= | no2=
22/11/2021 03:00 | zone=5 | sensor=AQ-01 | pm25=0 | no2=19.51
03/08/2022 22:00 | zone=7 | sensor=AQ-02 | pm25= | no2=
27/10/2021 18:00 | zone=5 | sensor=AQ-02 | pm25=-5 | no2=31.43
02/05/2020 21:00 | zone=9 | sensor=AQ-01 | pm25=NA | no2=-1
29/07/2020 08:00 | zone=6 | sensor=AQ-03 | pm25=-5 | no2=
30/04/2020 21:00 | zone=8 | sensor=AQ-01 | pm25=12,3 | no2=40,7
29/03/2020 16:00 | zone=7 | sensor=AQ-01 | pm25=23.59 | no2=40,7
27/03/2020 17:00 | zone=8 | sensor=AQ-01 | pm25=NA | no2=
18/11/2021 18:00 | zone=9 | sensor=AQ-02 | pm25=12,3 | no2=
03/03/2022 02:00 | zone=10 | sensor=AQ-99 | pm25=NA | no2=40,7
12/03/2021 10:00 | zone=9 | sensor=AQ-02 | pm25=12,3 | no2=N/A
24/02/2020 13:00 | zone=5 | sensor=AQ-03 | pm25=9.98 | no2=40,7
04/08/2021 23:00 | zone=4 | sensor=AQ-01 | pm25=12,3 | no2=
23/02/2020 06:00 | zone=5 | sensor=AQ-02 | pm25=12,3 | no2=
03/03/2020 05:00 | zone=8 | sensor=AQ-03 | pm25=-5 | no2=40,7
23/04/2021 08:00 | zone=6 | sensor=AQ-01 | pm25=-5 | no2=35.93
30/03/2021 13:00 | zone=999 | sensor=AQ-03 | pm25=NA | no2=40,7
30/09/2019 06:00 | zone=999 | sensor=AQ-01 | pm25=13.89 | no2=
12/08/2019 12:00 | zone=10 | sensor=AQ-03 | pm25=-5 | no2=-1
08/09/2022 14:00 | zone=8 | sensor=AQ-02 | pm25=NA | no2=40,7
29/01/2022 14:00 | zone=999 | sensor=AQ-01 | pm25=NA | no2=N/A
21/04/2021 15:00 | zone=2 | sensor=AQ-01 | pm25=21.52 | no2=-1
23/09/2020 10:00 | zone=4 | sensor=AQ-99 | pm25= | no2=40,7
21/08/2021 03:00 | zone=9 | sensor=AQ-03 | pm25=NA | no2=N/A
01/05/2022 22:00 | zone=6 | sensor=AQ-03 | pm25=12,3 | no2=40,7
16/10/2020 13:00 | zone=6 | sensor=AQ-02 | pm25=12,3 | no2=
03/05/2022 11:00 | zone=999 | sensor=AQ-99 | pm25=NA | no2=N/A
20/11/2019 01:00 | zone=4 | sensor=AQ-03 | pm25=12,3 | no2=-1
31/01/2022 20:00 | zone=1 | sensor=AQ-01 | pm25=-5 | no2=
03/07/2021 06:00 | zone=8 | sensor=AQ-99 | pm25=8.73 | no2=
24/12/2022 20:00 | zone=4 | sensor=AQ-99 | pm25=12,3 | no2=N/A
04/07/2020 17:00 | zone=2 | sensor=AQ-01 | pm25=12,3 | no2=40,7
11/02/2021 00:00 | zone=2 | sensor=AQ-03 | pm25=-5 | no2=-1
25/06/2021 00:00 | zone=9 | sensor=AQ-02 | pm25=-5 | no2=N/A
25/08/2020 16:00 | zone=6 | sensor=AQ-01 | pm25= | no2=N/A
02/05/2022 21:00 | zone=4 | sensor=AQ-03 | pm25=NA | no2=N/A
30/08/2021 12:00 | zone=8 | sensor=AQ-02 | pm25=NA | no2=-1
21/02/2021 04:00 | zone=5 | sensor=AQ-02 | pm25= | no2=N/A
20/12/2021 01:00 | zone=7 | sensor=AQ-02 | pm25=12,3 | no2=46.38
03/04/2022 22:00 | zone=2 | sensor=AQ-02 | pm25=NA | no2=-1
13/08/2020 21:00 | zone=4 | sensor=AQ-03 | pm25=11.83 | no2=N/A
04/07/2020 10:00 | zone=1 | sensor=AQ-01 | pm25=17.2 | no2=48.58
08/11/2020 17:00 | zone=6 | sensor=AQ-01 | pm25=16.7 | no2=N/A
16/03/2022 10:00 | zone=9 | sensor=AQ-01 | pm25=NA | no2=-1
13/05/2019 00:00 | zone=6 | sensor=AQ-99 | pm25=-5 | no2=40,7
26/06/2019 17:00 | zone=8 | sensor=AQ-99 | pm25= | no2=N/A
23/08/2021 15:00 | zone=2 | sensor=AQ-01 | pm25=21.87 | no2=-1
01/01/2020 18:00 | zone=10 | sensor=AQ-02 | pm25=12,3 | no2=-1
28/02/2022 05:00 | zone=4 | sensor=AQ-03 | pm25= | no2=
22/03/2019 02:00 | zone=7 | sensor=AQ-02 | pm25=22.14 | no2=-1
24/05/2020 00:00 | zone=5 | sensor=AQ-01 | pm25=-5 | no2=N/A
23/03/2020 10:00 | zone=6 | sensor=AQ-02 | pm25=-5 | no2=N/A
20/09/2021 22:00 | zone=8 | sensor=AQ-03 | pm25=12,3 | no2=
26/01/2021 05:00 | zone=999 | sensor=AQ-99 | pm25= | no2=46.25
23/10/2020 19:00 | zone=8 | sensor=AQ-02 | pm25=NA | no2=
15/02/2022 02:00 | zone=8 | sensor=AQ-01 | pm25=NA | no2=N/A
07/04/2019 13:00 | zone=5 | sensor=AQ-02 | pm25=35.68 | no2=-1
09/02/2020 17:00 | zone=7 | sensor=AQ-02 | pm25=4.38 | no2=40,7
10/05/2019 19:00 | zone=4 | sensor=AQ-01 | pm25=18.07 | no2=21.89
03/08/2019 02:00 | zone=999 | sensor=AQ-03 | pm25=10.54 | no2=N/A
09/09/2022 10:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=
12/01/2021 10:00 | zone=9 | sensor=AQ-01 | pm25=12,3 | no2=38.07
20/02/2022 12:00 | zone=5 | sensor=AQ-01 | pm25=25.35 | no2=
25/07/2022 15:00 | zone=2 | sensor=AQ-03 | pm25= | no2=N/A
18/11/2019 14:00 | zone=1 | sensor=AQ-03 | pm25= | no2=N/A
18/04/2021 16:00 | zone=999 | sensor=AQ-02 | pm25=NA | no2=58.17
03/09/2022 23:00 | zone=8 | sensor=AQ-99 | pm25=NA | no2=N/A
20/10/2021 04:00 | zone=4 | sensor=AQ-01 | pm25=12,3 | no2=40,7
04/09/2019 06:00 | zone=6 | sensor=AQ-99 | pm25=-5 | no2=N/A
23/09/2019 13:00 | zone=3 | sensor=AQ-03 | pm25=19.53 | no2=-1
21/09/2019 01:00 | zone=2 | sensor=AQ-02 | pm25=NA | no2=-1
20/01/2020 12:00 | zone=10 | sensor=AQ-03 | pm25= | no2=40,7
06/04/2021 02:00 | zone=1 | sensor=AQ-99 | pm25=8.79 | no2=40,7
30/09/2019 20:00 | zone=7 | sensor=AQ-02 | pm25= | no2=-1
22/03/2022 11:00 | zone=4 | sensor=AQ-02 | pm25=12,3 | no2=N/A
27/10/2022 12:00 | zone=7 | sensor=AQ-03 | pm25= | no2=
11/06/2019 23:00 | zone=3 | sensor=AQ-03 | pm25= | no2=
13/12/2022 05:00 | zone=8 | sensor=AQ-01 | pm25=0.65 | no2=N/A
06/03/2019 06:00 | zone=4 | sensor=AQ-99 | pm25=-5 | no2=
24/01/2021 08:00 | zone=1 | sensor=AQ-03 | pm25= | no2=28.37
09/06/2019 02:00 | zone=9 | sensor=AQ-99 | pm25=NA | no2=40,7
27/08/2022 12:00 | zone=10 | sensor=AQ-03 | pm25=15.87 | no2=72.79
06/04/2021 21:00 | zone=2 | sensor=AQ-02 | pm25=-5 | no2=
04/11/2020 12:00 | zone=6 | sensor=AQ-02 | pm25= | no2=
10/10/2022 01:00 | zone=9 | sensor=AQ-01 | pm25=-5 | no2=N/A
27/11/2021 13:00 | zone=9 | sensor=AQ-99 | pm25=12,3 | no2=40,7
05/01/2021 01:00 | zone=7 | sensor=AQ-02 | pm25=12,3 | no2=
12/02/2022 00:00 | zone=3 | sensor=AQ-99 | pm25=-5 | no2=
28/07/2019 17:00 | zone=2 | sensor=AQ-02 | pm25= | no2=
16/09/2021 00:00 | zone=8 | sensor=AQ-99 | pm25= | no2=40,7
16/11/2020 16:00 | zone=6 | sensor=AQ-02 | pm25= | no2=N/A
14/06/2022 03:00 | zone=4 | sensor=AQ-02 | pm25=NA | no2=31.09
24/02/2020 03:00 | zone=7 | sensor=AQ-02 | pm25=-5 | no2=
13/10/2020 02:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=-1
13/07/2020 10:00 | zone=10 | sensor=AQ-02 | pm25=NA | no2=
26/08/2019 15:00 | zone=4 | sensor=AQ-03 | pm25= | no2=
21/05/2021 19:00 | zone=7 | sensor=AQ-99 | pm25=28.71 | no2=
11/08/2021 12:00 | zone=999 | sensor=AQ-02 | pm25=12,3 | no2=N/A
28/12/2021 11:00 | zone=999 | sensor=AQ-01 | pm25=-5 | no2=N/A
21/09/2020 21:00 | zone=4 | sensor=AQ-99 | pm25=16.75 | no2=N/A
07/04/2020 09:00 | zone=3 | sensor=AQ-01 | pm25=17.62 | no2=40,7
21/11/2022 10:00 | zone=4 | sensor=AQ-02 | pm25=12,3 | no2=78.2
16/05/2020 22:00 | zone=8 | sensor=AQ-02 | pm25=14.89 | no2=45.27
30/06/2021 11:00 | zone=9 | sensor=AQ-99 | pm25=-5 | no2=26.87
25/10/2021 16:00 | zone=8 | sensor=AQ-03 | pm25= | no2=N/A
24/11/2022 08:00 | zone=2 | sensor=AQ-99 | pm25=12,3 | no2=40,7
04/12/2021 23:00 | zone=9 | sensor=AQ-01 | pm25=12,3 | no2=36.48
09/07/2021 23:00 | zone=8 | sensor=AQ-01 | pm25=12,3 | no2=8.76
03/05/2022 04:00 | zone=3 | sensor=AQ-01 | pm25=NA | no2=
07/01/2021 09:00 | zone=2 | sensor=AQ-01 | pm25=12,3 | no2=N/A
27/08/2021 13:00 | zone=2 | sensor=AQ-99 | pm25=NA | no2=N/A
19/10/2019 06:00 | zone=9 | sensor=AQ-99 | pm25=12,3 | no2=-1
28/09/2020 00:00 | zone=7 | sensor=AQ-02 | pm25=-5 | no2=
20/08/2020 17:00 | zone=9 | sensor=AQ-01 | pm25=NA | no2=50.74
08/11/2021 02:00 | zone=1 | sensor=AQ-99 | pm25=12,3 | no2=-1
